,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv,array4j.csv
array4j.csv,51.0,7.0,2.0,133.0,4.0,0.0,3.0,67.0,8.0,107.0,0.0,8.0,0.0,2.0,
e-bio-flow.csv,39.0,18.0,1.0,10.0,0.0,6.0,,12.0,2.0,18.0,1.0,124.0,0.0,16.0,78.0
emono.csv,6.0,36.0,1.0,57.0,4.0,0.0,1.0,150.0,34.0,16.0,0.0,10.0,,10.0,5.0
jas.csv,10.0,94.0,0.0,133.0,4.0,0.0,2.0,24.0,0.0,7.0,0.0,,6.0,65.0,2.0
jbpm.csv,0.0,94.0,,133.0,84.0,67.0,1.0,224.0,5.0,107.0,367.0,124.0,121.0,65.0,2.0
jgossipforum.csv,5.0,2.0,6.0,133.0,1.0,2.0,0.0,,1.0,3.0,0.0,124.0,0.0,65.0,7.0
jmonkeyengine.csv,0.0,14.0,1.0,53.0,2.0,,1.0,49.0,5.0,15.0,0.0,1.0,0.0,28.0,10.0
joustsim.csv,23.0,11.0,1.0,5.0,1.0,0.0,4.0,5.0,,12.0,0.0,0.0,1.0,0.0,1.0
log4net.csv,105.0,94.0,431.0,,84.0,67.0,81.0,224.0,70.0,107.0,367.0,124.0,121.0,65.0,1.0
ngl.csv,0.0,25.0,1.0,40.0,2.0,0.0,1.0,97.0,8.0,14.0,,36.0,0.0,8.0,10.0
piccolo2d.csv,2.0,,6.0,133.0,84.0,67.0,3.0,224.0,3.0,107.0,0.0,124.0,121.0,6.0,1.0
pustefix.csv,8.0,10.0,3.0,10.0,,0.0,0.0,224.0,70.0,107.0,0.0,0.0,0.0,41.0,78.0
reaper3d.csv,1.0,94.0,431.0,133.0,0.0,0.0,1.0,6.0,70.0,,0.0,124.0,121.0,65.0,2.0
sblim.csv,,6.0,4.0,133.0,1.0,1.0,5.0,224.0,4.0,107.0,3.0,124.0,0.0,18.0,1.0
thedata.csv,0.0,26.0,1.0,30.0,0.0,0.0,1.0,93.0,7.0,16.0,0.0,27.0,1.0,,3.0
