,prelude.csv,trackit.csv,scite-ru.csv,gbif-indexingtoolkit.csv,co-ode-owl-plugins.csv,bl-toolkit.csv,gnukeda.csv,qlc.csv,yaprm.csv,aztec.csv,pamguard.csv,motu.csv,qdvdauthor.csv,oscarmcmaster.csv,tencompetence.csv,arm-webradio.csv
arm-webradio.csv,0.0,0.0,3.0,3.0,4.0,3.0,0.0,1.0,3.0,13.0,0.0,4.0,0.0,4.0,0.0,0.0
aztec.csv,0.0,2.0,4.0,2.0,10.0,0.0,70.0,132.0,74.0,0.0,1.0,13.0,0.0,11.0,0.0,5.0
bl-toolkit.csv,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,318.0,1.0,2.0,0.0,3.0,0.0,3.0
co-ode-owl-plugins.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,74.0,318.0,3.0,4.0,0.0,1.0,2.0,0.0
gbif-indexingtoolkit.csv,0.0,1.0,10.0,0.0,11.0,2.0,1.0,4.0,0.0,24.0,1.0,6.0,0.0,8.0,1.0,3.0
gnukeda.csv,0.0,0.0,5.0,6.0,4.0,1.0,0.0,14.0,7.0,11.0,1.0,4.0,0.0,5.0,0.0,1.0
motu.csv,52.0,2.0,3.0,1.0,6.0,0.0,0.0,132.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,131.0
oscarmcmaster.csv,1.0,2.0,0.0,5.0,5.0,0.0,0.0,132.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,13.0
pamguard.csv,0.0,0.0,6.0,1.0,6.0,3.0,2.0,7.0,0.0,29.0,0.0,2.0,0.0,5.0,1.0,3.0
prelude.csv,0.0,1.0,7.0,2.0,6.0,0.0,0.0,6.0,0.0,30.0,0.0,21.0,0.0,9.0,0.0,3.0
qdvdauthor.csv,0.0,3.0,11.0,60.0,4.0,2.0,1.0,28.0,1.0,24.0,3.0,58.0,0.0,1.0,0.0,4.0
qlc.csv,52.0,0.0,5.0,60.0,5.0,0.0,0.0,0.0,0.0,318.0,1.0,3.0,0.0,7.0,0.0,131.0
scite-ru.csv,0.0,2.0,0.0,2.0,10.0,0.0,2.0,7.0,1.0,29.0,1.0,8.0,1.0,11.0,0.0,3.0
tencompetence.csv,2.0,1.0,1.0,0.0,18.0,0.0,0.0,15.0,0.0,11.0,1.0,4.0,4.0,3.0,0.0,2.0
trackit.csv,0.0,0.0,9.0,6.0,1.0,1.0,0.0,10.0,6.0,39.0,1.0,6.0,1.0,6.0,0.0,8.0
yaprm.csv,0.0,0.0,2.0,2.0,12.0,0.0,2.0,14.0,0.0,38.0,1.0,8.0,0.0,19.0,0.0,131.0
