,precision
bl-toolkit.csv,0.7
opengs.csv,1.0
patterntesting.csv,0.67
log4net.csv,0.03
gzigzag.csv,0.37
fw4spl.csv,0.23
phet.csv,0.11
gnukeda.csv,0.73
jaxen.csv,0.17
unimrcp.csv,0.47
enlightenment.csv,0.79
tokratan.csv,0.29
opensim4opencog.csv,0.19
rsyslog.csv,0.81
qlc.csv,0.2
lockss.csv,0.25
nicepress.csv,0.5
scenemonitor.csv,1.0
wxlua.csv,1.0
blue-c.csv,0.82
tcl.csv,0.62
etherboot.csv,0.31
pustefix.csv,0.6
haggle.csv,0.69
jmonkeyengine.csv,0.31
officefloor.csv,0.07
fluidium.csv,0.64
aufs.csv,0.46
cuberok.csv,0.53
vienna-add-in.csv,0.78
ivataopenportal.csv,0.53
decidr.csv,0.59
mptvseries.csv,0.65
planeshift.csv,0.87
phonon-vlc-mplayer.csv,0.64
jgnash.csv,0.27
nassp.csv,0.26
toped.csv,0.92
mediate.csv,0.71
arcallians.csv,0.71
emulemorph.csv,0.08
webdriver.csv,0.67
jsr308-langtools.csv,0.81
boost-sandbox.csv,0.69
mvnforum.csv,0.44
plato.csv,0.85
tolven.csv,0.53
grafx2.csv,0.83
voms.csv,0.2
onotoa.csv,0.84
jguard.csv,0.6
yale.csv,0.28
jmol.csv,0.95
mscore.csv,0.89
hydrogen.csv,0.45
qtwin.csv,0.01
sbml.csv,0.88
thrust.csv,0.28
yaprm.csv,0.54
continuum-ide.csv,0.33
gpac.csv,0.57
e-bio-flow.csv,0.45
jbasic.csv,0.65
aztec.csv,0.07
sylpheed-claws.csv,0.64
stuproa-cims.csv,0.33
apertium.csv,0.32
fm-classic.csv,0.12
smarttag.csv,0.33
pamguard.csv,0.6
