,pci_20
bl-toolkit.csv,0.9
opengs.csv,0.5
patterntesting.csv,0.62
log4net.csv,0.56
gzigzag.csv,0.51
fw4spl.csv,0.98
phet.csv,0.69
gnukeda.csv,0.41
jaxen.csv,0.78
unimrcp.csv,0.76
enlightenment.csv,0.55
tokratan.csv,0.81
opensim4opencog.csv,0.48
rsyslog.csv,0.52
qlc.csv,0.43
lockss.csv,0.67
nicepress.csv,0.88
scenemonitor.csv,0.0
wxlua.csv,0.9
blue-c.csv,0.47
tcl.csv,0.54
etherboot.csv,0.49
pustefix.csv,0.9
haggle.csv,0.51
jmonkeyengine.csv,0.36
officefloor.csv,0.5
fluidium.csv,0.55
aufs.csv,0.41
cuberok.csv,0.53
vienna-add-in.csv,0.74
ivataopenportal.csv,0.5
decidr.csv,0.38
mptvseries.csv,0.47
planeshift.csv,0.49
phonon-vlc-mplayer.csv,0.9
jgnash.csv,0.51
nassp.csv,0.48
toped.csv,0.33
mediate.csv,0.65
arcallians.csv,0.55
emulemorph.csv,0.4
webdriver.csv,0.63
jsr308-langtools.csv,0.38
boost-sandbox.csv,0.4
mvnforum.csv,0.62
plato.csv,0.62
tolven.csv,0.61
grafx2.csv,0.34
voms.csv,0.8
onotoa.csv,0.74
jguard.csv,0.9
yale.csv,0.68
jmol.csv,0.49
mscore.csv,0.55
hydrogen.csv,0.5
qtwin.csv,0.56
sbml.csv,0.44
thrust.csv,0.67
yaprm.csv,0.46
continuum-ide.csv,0.67
gpac.csv,0.5
e-bio-flow.csv,0.65
jbasic.csv,0.65
aztec.csv,0.59
sylpheed-claws.csv,0.51
stuproa-cims.csv,0.75
apertium.csv,0.46
fm-classic.csv,0.64
smarttag.csv,0.83
pamguard.csv,0.36
