,g-score
bl-toolkit.csv,0.17
opengs.csv,0.05
patterntesting.csv,0.57
log4net.csv,0.37
gzigzag.csv,0.58
fw4spl.csv,0.29
phet.csv,0.14
gnukeda.csv,0.45
jaxen.csv,0.79
unimrcp.csv,0.35
enlightenment.csv,0.47
tokratan.csv,0.45
opensim4opencog.csv,0.51
rsyslog.csv,0.68
qlc.csv,0.73
lockss.csv,0.31
nicepress.csv,0.26
scenemonitor.csv,0.06
wxlua.csv,0.13
blue-c.csv,0.52
tcl.csv,0.42
etherboot.csv,0.52
pustefix.csv,0.3
haggle.csv,0.4
jmonkeyengine.csv,0.58
officefloor.csv,0.71
fluidium.csv,0.38
aufs.csv,0.72
cuberok.csv,0.49
vienna-add-in.csv,0.29
ivataopenportal.csv,0.57
decidr.csv,0.59
mptvseries.csv,0.61
planeshift.csv,0.46
phonon-vlc-mplayer.csv,0.44
jgnash.csv,0.65
nassp.csv,0.58
toped.csv,0.7
mediate.csv,0.35
arcallians.csv,0.54
emulemorph.csv,0.64
webdriver.csv,0.45
jsr308-langtools.csv,0.6
boost-sandbox.csv,0.46
mvnforum.csv,0.43
plato.csv,0.3
tolven.csv,0.55
grafx2.csv,0.6
voms.csv,0.13
onotoa.csv,0.26
jguard.csv,0.24
yale.csv,0.45
jmol.csv,0.42
mscore.csv,0.39
hydrogen.csv,0.6
qtwin.csv,0.92
sbml.csv,0.59
thrust.csv,0.33
yaprm.csv,0.44
continuum-ide.csv,0.28
gpac.csv,0.46
e-bio-flow.csv,0.34
jbasic.csv,0.28
aztec.csv,0.29
sylpheed-claws.csv,0.51
stuproa-cims.csv,0.35
apertium.csv,0.58
fm-classic.csv,0.91
smarttag.csv,0.17
pamguard.csv,0.49
