,f1
bl-toolkit.csv,0.23
opengs.csv,0.07
patterntesting.csv,0.59
log4net.csv,0.05
gzigzag.csv,0.44
fw4spl.csv,0.24
phet.csv,0.12
gnukeda.csv,0.52
jaxen.csv,0.29
unimrcp.csv,0.36
enlightenment.csv,0.55
tokratan.csv,0.33
opensim4opencog.csv,0.27
rsyslog.csv,0.72
qlc.csv,0.32
lockss.csv,0.26
nicepress.csv,0.31
scenemonitor.csv,0.1
wxlua.csv,0.2
blue-c.csv,0.6
tcl.csv,0.48
etherboot.csv,0.39
pustefix.csv,0.36
haggle.csv,0.48
jmonkeyengine.csv,0.41
officefloor.csv,0.12
fluidium.csv,0.44
aufs.csv,0.57
cuberok.csv,0.49
vienna-add-in.csv,0.38
ivataopenportal.csv,0.57
decidr.csv,0.63
mptvseries.csv,0.61
planeshift.csv,0.57
phonon-vlc-mplayer.csv,0.49
jgnash.csv,0.38
nassp.csv,0.36
toped.csv,0.8
mediate.csv,0.43
arcallians.csv,0.59
emulemorph.csv,0.14
webdriver.csv,0.5
jsr308-langtools.csv,0.67
boost-sandbox.csv,0.57
mvnforum.csv,0.41
plato.csv,0.4
tolven.csv,0.52
grafx2.csv,0.67
voms.csv,0.14
onotoa.csv,0.34
jguard.csv,0.3
yale.csv,0.33
jmol.csv,0.53
mscore.csv,0.49
hydrogen.csv,0.5
qtwin.csv,0.02
sbml.csv,0.68
thrust.csv,0.29
yaprm.csv,0.46
continuum-ide.csv,0.28
gpac.csv,0.49
e-bio-flow.csv,0.36
jbasic.csv,0.35
aztec.csv,0.1
sylpheed-claws.csv,0.54
stuproa-cims.csv,0.32
apertium.csv,0.43
fm-classic.csv,0.21
smarttag.csv,0.2
pamguard.csv,0.57
