,d2h
bl-toolkit.csv,0.87
opengs.csv,0.96
patterntesting.csv,0.5
log4net.csv,0.72
gzigzag.csv,0.53
fw4spl.csv,0.76
phet.csv,0.93
gnukeda.csv,0.62
jaxen.csv,0.31
unimrcp.csv,0.71
enlightenment.csv,0.6
tokratan.csv,0.61
opensim4opencog.csv,0.59
rsyslog.csv,0.38
qlc.csv,0.58
lockss.csv,0.75
nicepress.csv,0.79
scenemonitor.csv,0.95
wxlua.csv,0.89
blue-c.csv,0.55
tcl.csv,0.66
etherboot.csv,0.64
pustefix.csv,0.74
haggle.csv,0.7
jmonkeyengine.csv,0.63
officefloor.csv,0.41
fluidium.csv,0.68
aufs.csv,0.48
cuberok.csv,0.6
vienna-add-in.csv,0.76
ivataopenportal.csv,0.7
decidr.csv,0.7
mptvseries.csv,0.46
planeshift.csv,0.61
phonon-vlc-mplayer.csv,0.61
jgnash.csv,0.47
nassp.csv,0.6
toped.csv,0.44
mediate.csv,0.71
arcallians.csv,0.55
emulemorph.csv,0.58
webdriver.csv,0.62
jsr308-langtools.csv,0.48
boost-sandbox.csv,0.79
mvnforum.csv,0.64
plato.csv,0.78
tolven.csv,0.52
grafx2.csv,0.46
voms.csv,0.89
onotoa.csv,0.81
jguard.csv,0.8
yale.csv,0.63
jmol.csv,0.64
mscore.csv,0.67
hydrogen.csv,0.45
qtwin.csv,0.31
sbml.csv,0.49
thrust.csv,0.76
yaprm.csv,0.69
continuum-ide.csv,0.79
gpac.csv,0.69
e-bio-flow.csv,0.73
jbasic.csv,0.77
aztec.csv,0.8
sylpheed-claws.csv,0.58
stuproa-cims.csv,0.73
apertium.csv,0.69
fm-classic.csv,0.32
smarttag.csv,0.86
pamguard.csv,0.78
