,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.57,0.71,0.58,0.35,0.35,0.56,0.5,0.72,0.43,0.6,0.17,0.22
factor.csv,0.07,0.21,0.3,0.19,0.04,0.26,0.14,0.09,0.57,0.07,0.17,0.17
fceugc.csv,0.24,0.12,0.24,0.16,0.05,0.23,0.25,0.23,0.25,0.13,0.0,0.17
flexpay.csv,0.02,0.04,0.0,0.0,0.0,0.02,0.0,0.21,0.0,0.0,0.0,0.0
jstock.csv,0.14,0.25,0.23,0.12,0.02,0.06,0.05,0.07,0.08,0.07,0.0,0.04
keyczar.csv,0.37,0.58,0.24,0.35,0.69,0.4,0.3,0.47,0.43,0.53,0.33,0.39
modellus.csv,0.52,0.12,0.44,0.05,0.07,0.23,0.36,0.12,0.24,0.2,0.0,0.0
open-data-kit.csv,0.8,0.75,0.92,0.98,0.31,0.84,0.27,0.53,0.87,0.13,0.83,0.87
phet.csv,0.03,0.62,0.08,0.53,0.64,0.42,0.7,0.44,0.49,0.93,0.67,0.48
qtractor.csv,0.51,0.29,0.28,0.21,0.24,0.22,0.25,0.35,0.3,0.0,0.17,0.22
sumatrapdf.csv,0.87,0.54,0.94,0.81,0.13,0.62,0.86,0.58,0.74,0.53,0.5,0.7
synergyspace.csv,0.01,0.0,0.05,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.0,0.0
