,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,factor.csv
elateportal.csv,0.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,4.0
factor.csv,0.0,0.0,7.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0
fceugc.csv,8.0,0.0,1.0,1.0,0.0,2.0,0.0,10.0,19.0,1.0,0.0,0.0
flexpay.csv,289.0,51.0,1.0,63.0,85.0,0.0,119.0,4.0,125.0,62.0,49.0,63.0
jstock.csv,4.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,8.0,1.0,49.0,0.0
keyczar.csv,0.0,4.0,12.0,3.0,7.0,13.0,1.0,14.0,4.0,0.0,0.0,1.0
modellus.csv,8.0,0.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0
open-data-kit.csv,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0
phet.csv,2.0,3.0,1.0,0.0,2.0,2.0,5.0,4.0,1.0,3.0,3.0,0.0
qtractor.csv,0.0,0.0,2.0,1.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,3.0
sumatrapdf.csv,5.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,1.0,1.0,3.0,1.0
synergyspace.csv,289.0,51.0,0.0,63.0,85.0,171.0,119.0,55.0,3.0,62.0,49.0,63.0
