,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.47,0.4,0.54,0.65,0.76,0.41,0.6,0.69,0.88,0.0,0.4
ivatamasks.csv,0.34,0.47,0.45,0.38,0.38,0.67,0.4,0.46,0.92,0.37,0.45
java-gnome.csv,0.47,0.86,0.53,0.77,0.44,0.8,0.75,0.48,0.43,0.58,0.75
orc.csv,0.75,0.42,0.6,0.56,0.89,0.38,0.59,0.67,0.85,0.0,0.6
plato.csv,0.34,0.39,0.3,0.44,0.49,0.51,0.42,0.59,0.87,0.4,0.4
rodin-b-sharp.csv,0.82,0.84,0.95,0.97,0.92,0.52,0.67,0.6,0.38,0.0,0.77
tycho.csv,0.78,0.46,0.97,0.62,0.74,0.91,0.68,0.76,0.93,0.55,0.48
umber.csv,0.55,0.37,0.29,0.41,0.44,0.43,0.39,0.44,0.38,0.57,0.38
unicase.csv,0.45,0.39,0.33,0.43,0.62,0.43,0.45,0.6,0.41,0.54,0.43
vienna-add-in.csv,0.53,0.58,0.44,0.54,0.59,0.75,0.65,0.45,0.95,0.56,0.75
wpdev.csv,0.34,0.39,0.29,0.43,0.42,0.42,0.38,0.43,0.39,0.4,0.39
