,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.66,0.49,0.68,0.45,0.28,0.59,0.39,0.73,0.13,0.0,0.65
ivatamasks.csv,0.27,0.45,0.46,0.72,0.2,0.2,0.41,0.67,0.13,0.66,0.48
java-gnome.csv,0.85,0.34,0.52,0.27,0.49,0.12,0.2,0.57,0.79,0.54,0.27
orc.csv,0.06,0.56,0.86,0.47,0.05,0.52,0.31,0.4,0.14,0.0,0.39
plato.csv,0.21,0.0,0.21,0.24,0.47,0.86,0.32,0.61,0.25,0.0,0.13
rodin-b-sharp.csv,0.58,0.0,0.49,0.26,0.15,0.52,0.83,0.44,0.78,0.0,0.37
tycho.csv,0.19,0.55,0.43,0.54,0.37,0.28,0.29,0.54,0.27,0.72,0.42
umber.csv,0.89,0.0,0.05,0.46,0.46,0.0,0.17,0.34,0.24,0.26,0.63
unicase.csv,0.8,0.93,0.53,0.55,0.41,0.58,0.65,0.67,0.61,0.46,0.71
vienna-add-in.csv,0.66,0.0,0.5,0.47,0.7,0.4,0.47,0.41,0.26,0.66,0.36
wpdev.csv,0.09,1.0,0.05,0.0,0.09,0.0,0.0,0.28,0.0,0.17,0.05
