,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv
gwanted.csv,0.52,0.57,0.46,0.63,0.77,0.7,0.7,0.34,0.9,1.0,0.65
ivatamasks.csv,0.93,0.6,0.73,0.41,0.98,0.87,0.87,0.5,1.0,0.62,0.84
java-gnome.csv,0.29,0.85,0.61,0.77,0.79,0.91,0.87,0.61,0.26,0.56,0.81
orc.csv,0.95,0.5,0.24,0.63,0.97,0.62,0.78,0.68,0.95,1.0,0.68
plato.csv,0.95,1.0,0.95,0.94,0.85,0.19,0.91,0.66,0.81,1.0,0.97
rodin-b-sharp.csv,0.47,1.21,0.57,0.84,0.88,0.76,0.22,0.76,0.46,1.0,0.69
tycho.csv,0.95,0.66,0.65,0.71,0.7,0.77,0.93,0.54,0.78,0.36,0.88
umber.csv,0.14,1.02,0.99,0.85,0.86,1.0,0.96,0.91,0.94,0.9,0.55
unicase.csv,0.35,0.09,0.81,0.79,0.78,0.76,0.68,0.53,0.69,0.85,0.48
vienna-add-in.csv,0.59,1.07,0.78,0.85,0.49,0.8,0.77,0.89,0.86,0.59,0.92
wpdev.csv,0.98,0.0,0.99,1.0,0.98,1.0,1.0,0.94,1.0,0.96,0.99
