,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,4.0,10.0,1.0,1.0,3.0,0.0,1.0,5.0,15.0,0.0
gamestone.csv,1.0,1.0,2.0,2.0,12.0,71.0,2.0,14.0,6.0,1.0
gbif-providertoolkit.csv,4.0,59.0,1.0,3.0,2.0,0.0,1.0,7.0,9.0,0.0
heekscad.csv,0.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,8.0,0.0
igarden.csv,2.0,6.0,1.0,0.0,0.0,0.0,1.0,17.0,5.0,0.0
levent.csv,2.0,1.0,126.0,102.0,0.0,0.0,1.0,155.0,64.0,57.0
owlapi.csv,3.0,59.0,1.0,1.0,3.0,0.0,1.0,2.0,5.0,0.0
pnotepad.csv,1.0,12.0,0.0,2.0,4.0,0.0,1.0,60.0,17.0,0.0
quark.csv,0.0,1.0,0.0,1.0,80.0,71.0,111.0,4.0,3.0,0.0
xcsoar.csv,1.0,1.0,4.0,6.0,4.0,0.0,3.0,12.0,17.0,0.0
