,campsoft.csv,gtad.csv,rhex.csv,owlib.csv,ktc.csv,jedit.csv,net-snmp.csv,encog-java.csv,umber.csv,jahshakafx.csv,jahshaka.csv,selenium.csv,paintown.csv,h2database.csv,x4x.csv,elmo.csv,jmoney.csv,google-collections.csv,baadengine.csv,raven-monitoring.csv,smbopensoft.csv,xharbour.csv,flylinkdc.csv,reactos-mirror.csv,qpe.csv,xbrlapi.csv,prelude.csv,neoengine.csv,atunes.csv,avifile.csv,lamp.csv,logicmail.csv,wgs-assembler.csv,plearn.csv,werx.csv,plog4u.csv,openwbem.csv,qgo.csv,jaql.csv,kmatplot.csv,pclasses.csv,agilitybook.csv,triplea.csv,raygina.csv,wpdev.csv,owfs.csv,olap-navigator.csv,pokeglobal.csv,nova.csv,sauerbraten.csv,graphmak.csv,jgameai.csv,gpsmid.csv,empyrean.csv,awemud.csv,crisscross.csv,re2c.csv,tzod.csv,octave.csv,adaptagrams.csv,open-media-library.csv,vdsf.csv,alit.csv,orc.csv,lazarus-ccr.csv,n2cms.csv,forester-atv.csv,mob-sen-plat.csv,nh3d.csv,amanda.csv,rectracker.csv,dynalloy.csv,mpqc.csv,thout.csv,benojt.csv,sabbu.csv,unladen-swallow.csv,powerfolder-.csv,barracudamvc.csv,guineu.csv
adaptagrams.csv,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.12,0.01,0.0,0.93,1.0,1.0,0.05,0.0,0.29,0.01,0.0,0.0,0.0,0.0,0.67,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.17,0.82,0.0,0.0,1.0,0.0,0.64,0.95,0.0,1.0,0.0,0.68,0.85,0.0,0.99,0.45,0.81,0.0,0.0,0.0,,0.0,0.0,0.65,0.69,0.0,0.21,0.0,0.21,0.0,0.0,0.3,0.04,0.0,0.57,0.55,0.03,0.0,0.13,0.98,0.31
agilitybook.csv,1.0,1.0,0.75,0.18,0.0,0.0,0.0,1.0,0.37,0.13,1.0,1.0,0.69,0.0,0.98,0.8,1.0,0.65,0.21,1.0,1.0,0.0,0.0,0.0,0.05,0.98,0.98,0.47,0.18,0.0,1.0,0.97,0.0,0.15,0.99,1.0,0.0,0.9,0.94,0.93,1.0,,0.78,1.0,0.46,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.96,1.0,0.97,1.0,0.0,0.93,0.18,1.0,0.7,0.12,0.9,1.0,0.0,1.0,0.73,1.0,0.0,0.0,0.96,0.96,0.0,0.93,1.0,0.95,0.0,1.0,0.99,1.0
amanda.csv,1.0,1.0,0.83,0.88,0.0,0.36,0.8,0.93,0.89,0.79,1.0,1.0,0.79,0.4,1.0,1.0,1.0,0.88,0.74,0.94,0.96,0.0,0.35,0.0,0.79,1.0,1.0,0.8,1.0,0.8,0.86,1.0,0.54,0.83,1.0,1.0,0.46,1.0,0.98,1.0,1.0,0.92,0.91,1.0,0.83,1.0,1.0,0.98,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,0.73,1.0,0.9,0.99,,1.0,0.67,1.0,0.73,1.0,0.0,,1.0,0.96,0.1,1.0,1.0,0.98,0.0,0.94,0.99,0.96
atunes.csv,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,1.0,0.75,0.47,0.0,1.0,1.0,1.0,0.61,0.0,0.8,0.86,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.93,1.0,0.0,0.0,1.0,1.0,0.0,0.47,0.54,0.83,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.56,1.0,0.05,1.0,1.0,0.76,1.0,0.95,1.0,0.0,0.93,0.0,1.0,0.2,0.0,0.9,1.0,0.0,0.58,0.15,1.0,0.0,0.0,0.77,0.44,0.0,0.95,0.98,0.86,0.0,0.94,1.0,0.96
avifile.csv,0.0,0.0,0.0,0.1,1.0,0.95,0.73,0.0,0.0,0.94,0.0,0.03,0.0,1.0,0.0,0.0,0.0,0.01,0.26,0.0,0.0,1.0,1.0,1.0,0.51,0.0,0.0,0.03,0.0,,0.0,0.0,0.9,0.17,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.76,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12,0.0,1.0,0.9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
awemud.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09,0.97,1.0,1.0,0.05,0.6,0.65,0.99,1.0,0.94,0.99,1.0,1.0,1.0,1.0,0.45,0.0,1.0,1.0,1.0,0.86,0.64,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.12,1.0,0.18,0.62,1.0,0.31,1.0,0.8,0.65,0.98,0.03,,0.19,1.0,1.0,1.0,0.92,1.0,1.0,0.01,0.31,1.0,0.98,1.0,0.0,1.0,1.0,0.98,1.0,1.0,0.68,0.92,1.0,1.0,0.94,0.48,0.42
baadengine.csv,1.0,1.0,1.0,0.96,0.0,0.49,0.98,1.0,0.95,0.85,1.0,0.98,1.0,0.0,1.0,1.0,1.0,0.99,,1.0,1.0,0.0,0.03,0.0,0.9,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.74,1.0,1.0,1.0,0.15,0.97,0.99,1.0,1.0,0.66,0.97,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,0.33,1.0,0.92,1.0,0.0,0.62,1.0,0.98,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.96
barracudamvc.csv,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,1.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.81,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
benojt.csv,1.0,1.0,1.0,1.0,0.96,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.97,1.0,0.95,1.0,0.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,,1.0,0.0,0.97,1.0,1.0
crisscross.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.08,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
