,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.34,0.38,0.09,0.18,0.11,0.16,0.05,0.06,0.24,0.89,0.75,0.21
aubit4gl.csv,0.28,0.65,0.33,0.39,0.96,0.33,0.35,0.42,0.47,0.53,0.46,0.48
liferea.csv,0.55,0.53,0.52,0.93,0.52,0.47,0.6,0.5,0.28,0.59,0.59,0.54
moving-pictures.csv,0.5,0.52,0.68,0.43,0.09,0.3,0.97,0.41,0.28,0.55,0.32,0.63
olex2.csv,0.54,0.53,0.52,0.27,0.46,0.54,0.4,0.13,0.49,0.55,0.47,0.97
opensim4opencog.csv,0.06,0.0,0.0,0.0,0.0,0.82,0.05,0.35,0.02,0.31,0.17,0.06
plearn.csv,0.98,0.37,0.4,0.26,0.65,0.16,0.39,0.35,0.51,0.45,0.8,0.18
psrchive.csv,0.24,0.2,0.75,0.0,0.28,0.26,0.13,0.1,0.23,0.34,0.48,0.09
re2c.csv,0.46,1.0,0.64,0.1,0.62,0.16,0.29,0.52,0.67,0.33,0.44,0.52
rebecca-aiml.csv,0.35,0.37,0.5,0.4,0.58,0.5,0.39,0.51,1.0,0.55,0.69,0.47
wxcode.csv,0.18,0.0,0.09,0.1,0.32,0.05,0.13,0.06,0.16,0.2,1.0,0.12
xfce.csv,0.62,0.19,0.61,0.69,0.63,0.57,0.6,0.98,0.55,0.52,0.57,0.64
