,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.29,0.33,0.07,0.15,0.09,0.13,0.04,0.05,0.2,0.87,0.71,0.18
aubit4gl.csv,0.25,0.67,0.29,0.38,0.96,0.3,0.32,0.39,0.72,0.5,0.43,0.47
liferea.csv,0.53,0.5,0.5,0.92,0.52,0.43,0.57,0.45,0.24,0.57,0.57,0.5
moving-pictures.csv,0.47,0.5,0.71,0.38,0.07,0.26,0.96,0.36,0.24,0.57,0.29,0.75
olex2.csv,0.51,0.5,0.5,0.23,0.43,0.57,0.36,0.11,0.44,0.53,0.43,0.97
opensim4opencog.csv,0.05,0.0,0.0,0.0,0.0,0.78,0.04,0.3,0.02,0.27,0.14,0.05
plearn.csv,0.98,0.33,0.36,0.23,0.76,0.13,0.36,0.32,0.48,0.43,0.86,0.15
psrchive.csv,0.2,0.17,0.71,0.0,0.24,0.22,0.11,0.08,0.19,0.3,0.43,0.07
re2c.csv,0.42,1.0,0.64,0.08,0.61,0.13,0.25,0.59,0.65,0.3,0.43,0.48
rebecca-aiml.csv,0.31,0.5,0.5,0.38,0.74,0.48,0.36,0.51,1.0,0.53,0.71,0.45
wxcode.csv,0.15,0.0,0.07,0.08,0.28,0.04,0.11,0.05,0.13,0.17,1.0,0.1
xfce.csv,0.66,0.17,0.71,0.77,0.69,0.57,0.61,0.98,0.52,0.5,0.57,0.78
