,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.56,0.97,0.59,0.72,0.56,0.41,0.83,0.0,0.63,0.92,0.64
bdbbasic.csv,0.39,0.55,0.57,0.39,0.54,0.31,0.48,0.65,0.43,0.39,0.78
bibletime.csv,0.44,0.41,0.41,0.47,0.44,0.47,0.4,0.4,0.47,0.39,0.36
crux-framework.csv,0.65,0.52,0.97,0.69,0.94,0.62,0.59,0.5,0.77,0.42,0.92
etherboot.csv,0.0,0.95,0.0,0.0,0.58,0.0,0.75,0.58,0.67,0.37,0.36
gnukeda.csv,0.44,0.69,0.68,0.54,0.47,0.4,0.9,0.97,0.47,0.39,0.43
google-gears.csv,0.44,0.47,0.53,0.5,0.42,0.5,0.43,0.4,0.47,0.43,0.49
jnode.csv,0.8,0.57,0.81,0.61,0.88,0.86,0.92,0.8,0.96,0.83,0.95
openmeetings.csv,0.55,0.57,0.45,0.86,0.42,0.38,0.73,0.41,0.68,0.54,0.59
pgui.csv,0.62,0.45,0.0,0.62,0.46,0.38,0.47,0.57,0.54,0.41,0.42
wxcrp.csv,0.44,0.39,0.4,0.48,0.41,0.49,0.42,0.4,0.54,0.39,0.52
