,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.27,0.83,0.43,0.0,0.67,0.09,0.43,0.4,0.63,0.78
ibatisdb.csv,0.27,0.0,0.29,0.62,0.33,0.22,0.17,0.59,0.47,0.78
jmol.csv,0.64,1.0,0.79,0.62,1.0,0.73,0.57,0.99,0.93,0.97
liferea.csv,0.91,0.17,0.71,0.77,0.33,0.81,0.11,0.57,0.17,0.19
log4net.csv,0.18,0.17,0.36,0.62,1.0,0.11,0.34,0.49,0.23,0.14
pclasses.csv,0.73,0.0,0.14,0.08,0.67,0.15,0.37,0.01,0.37,0.25
psrchive.csv,0.27,0.67,0.71,0.69,0.67,0.14,0.43,0.67,0.53,0.25
re2c.csv,0.18,1.0,0.57,0.38,0.67,0.23,1.0,0.42,0.23,0.78
tycho.csv,0.18,0.67,0.43,0.38,0.33,0.22,0.8,0.21,0.27,0.19
xfce.csv,0.55,0.5,0.71,0.77,1.0,0.65,0.43,0.69,0.87,0.39
