,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.74,0.32,0.58,1.0,0.83,0.91,0.61,0.63,0.39,0.77
ibatisdb.csv,0.74,1.11,0.76,0.78,0.7,0.79,0.95,0.54,0.62,0.3
jmol.csv,0.66,0.98,0.98,0.71,1.0,0.51,0.71,1.0,0.79,0.95
liferea.csv,0.58,0.92,0.62,0.37,0.78,0.76,0.9,0.56,0.89,0.82
log4net.csv,0.82,0.83,0.72,0.69,0.12,0.89,0.68,0.64,0.79,0.88
pclasses.csv,0.33,1.0,0.86,0.93,0.51,0.88,0.74,0.99,0.74,0.89
psrchive.csv,0.76,0.35,0.35,0.71,0.39,0.87,0.61,0.72,0.55,0.82
re2c.csv,0.86,0.02,0.72,0.73,0.54,0.82,0.96,0.68,0.92,0.76
tycho.csv,0.84,0.35,0.6,0.71,0.7,0.8,0.38,0.82,0.74,1.0
xfce.csv,0.56,0.85,0.74,0.53,0.53,0.82,0.69,0.52,0.77,0.79
