,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.29,0.4,0.44,0.0,0.04,0.16,0.54,0.54,0.56,0.4
ibatisdb.csv,0.29,0.0,0.21,0.31,0.07,0.35,0.22,0.68,0.33,0.66
jmol.csv,0.29,0.19,0.23,0.34,0.04,0.8,0.56,0.82,0.35,0.41
liferea.csv,0.38,0.07,0.31,0.56,0.04,0.82,0.18,0.66,0.13,0.24
log4net.csv,0.29,0.29,0.23,0.35,0.27,0.19,0.46,0.59,0.23,0.17
pclasses.csv,0.55,0.0,0.21,0.12,0.07,0.25,0.44,0.02,0.24,0.19
psrchive.csv,0.23,0.5,0.51,0.36,0.12,0.24,0.54,0.68,0.38,0.22
re2c.csv,0.15,0.92,0.25,0.29,0.07,0.35,0.72,0.53,0.13,0.4
tycho.csv,0.17,0.53,0.35,0.29,0.07,0.35,0.78,0.32,0.29,0.13
xfce.csv,0.34,0.14,0.27,0.45,0.08,0.72,0.49,0.74,0.33,0.27
