,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.16,0.0,0.19,0.85,0.1,0.18,0.66,0.01,0.41,0.25,0.62,0.41
emite.csv,0.13,0.0,0.2,0.24,0.12,0.24,0.09,0.42,0.24,0.19,0.32,0.21
geogebra.csv,0.6,1.0,0.35,0.24,0.53,1.0,0.13,0.42,0.37,0.45,0.12,0.26
hibernate.csv,0.36,0.54,0.9,0.91,0.33,0.87,0.29,0.77,0.26,0.35,0.12,0.39
httpcontentparser.csv,0.27,0.0,0.22,0.43,0.26,0.0,0.49,0.88,0.52,0.52,0.62,0.59
megameknet.csv,0.72,1.0,0.52,0.64,0.76,0.79,0.22,0.79,0.43,0.47,0.22,0.63
myfaces.csv,0.23,0.46,0.32,0.17,0.09,0.45,0.1,0.58,0.31,0.25,0.2,0.23
ns-3.csv,0.43,0.96,0.74,0.24,0.74,0.82,0.28,0.42,0.43,0.91,0.22,0.4
ondex.csv,0.05,0.0,0.4,0.53,0.1,0.16,0.09,0.24,0.21,0.03,0.28,0.13
pixel-commandos.csv,0.12,0.08,0.1,0.21,0.12,0.03,0.1,0.21,0.29,0.05,0.15,0.09
rsyslog.csv,0.39,0.21,0.36,0.66,0.36,0.68,0.24,0.36,0.48,0.37,0.45,0.55
wow-qrsk.csv,0.08,0.0,0.07,0.35,0.27,0.0,0.09,0.84,0.19,0.09,0.18,0.15
