,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv
bochs.csv,0.13,0.13,0.51,0.52,0.6,0.25,0.33
encog-java.csv,0.24,0.27,0.33,0.71,0.56,0.11,0.56
galaxium.csv,0.15,0.21,0.4,0.51,0.61,0.22,0.71
h2database.csv,0.21,0.28,0.57,0.6,0.75,0.19,0.8
haphazard.csv,0.15,0.07,0.48,0.47,0.44,0.39,0.15
jaql.csv,0.16,0.21,0.48,0.63,0.62,0.15,0.57
raven-monitoring.csv,0.13,0.11,0.64,0.45,0.1,0.25,0.25
