,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,findbugs.csv,tweetsharp.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.57,0.0,0.35,1.0,0.62,0.53,0.55,0.34,0.45,0.47,0.17,0.74,0.15,0.38,0.4,0.2
betoffice.csv,0.13,0.32,0.0,0.17,0.49,0.08,0.2,0.98,0.18,0.86,0.36,0.31,0.19,0.32,0.25,0.22
bnetd.csv,0.55,0.71,0.31,0.53,0.62,0.43,0.33,0.42,0.44,0.57,0.96,0.78,0.45,0.66,0.53,0.7
elvishrayrenderer.csv,0.65,0.87,0.4,0.55,0.65,0.5,0.5,0.25,0.47,0.47,0.4,0.77,0.53,0.37,0.21,0.97
emisview.csv,0.4,0.37,0.35,0.54,0.25,0.98,0.37,0.21,0.46,0.42,0.48,0.58,0.34,0.39,0.59,0.57
findbugs.csv,0.62,0.78,0.27,0.3,0.68,0.28,0.55,0.26,0.48,0.5,0.48,0.28,0.98,0.48,0.2,0.52
hazelcast.csv,0.84,0.9,0.45,0.49,0.98,0.46,0.68,0.63,0.43,0.96,0.69,0.94,0.49,0.76,0.52,0.79
jitterbit.csv,0.43,0.59,0.29,0.29,0.59,0.41,0.37,0.11,0.97,0.77,0.6,0.32,0.43,0.5,0.25,0.52
jppf-project.csv,0.85,0.9,0.24,0.51,0.87,0.47,0.76,0.6,0.26,0.96,0.51,0.99,0.54,0.85,0.49,0.8
megasquirtavr.csv,0.82,0.75,0.89,0.54,0.85,0.5,0.67,0.44,0.47,0.55,0.59,0.75,0.46,0.53,0.58,0.75
stajistics.csv,0.37,0.58,0.3,0.32,0.62,0.53,0.16,0.31,0.18,0.27,0.29,0.69,0.3,0.31,0.95,0.52
trackit.csv,0.61,0.67,0.25,0.33,0.68,0.21,1.0,0.24,0.25,0.37,0.17,0.51,0.45,0.62,0.25,0.66
tweetsharp.csv,0.48,0.8,0.42,0.42,0.45,0.35,0.41,0.61,0.42,0.73,0.62,0.6,0.3,0.96,0.38,0.67
wxlua.csv,0.85,0.84,0.31,0.5,0.92,0.49,0.78,0.67,0.4,1.0,0.64,0.95,0.55,0.81,0.47,0.71
x4x.csv,0.98,0.89,0.55,0.49,0.7,0.47,0.71,0.52,0.36,0.24,0.44,0.68,0.53,0.54,0.45,0.56
xharbour.csv,0.81,1.0,0.4,0.52,0.84,0.45,0.78,0.62,0.41,0.5,0.68,0.85,0.57,0.78,0.48,0.78
