,qpe.csv,ikvm.csv,acegisecurity.csv,amateur-scrolls.csv,unflobtactical.csv,irrlicht.csv,ultimairis.csv,sigil.csv,xbg.csv,lportal.csv,ns-3-dev-def-routing.csv,les-indemodables.csv,biopax.csv,exl.csv,crux-framework.csv
acegisecurity.csv,0.5,0.42,0.55,0.38,0.38,0.6,0.46,0.46,0.47,0.47,0.53,0.51,0.48,0.44,0.41
amateur-scrolls.csv,0.69,0.0,0.79,0.5,0.89,0.96,0.96,0.48,0.69,0.87,0.79,0.0,0.89,0.39,0.71
biopax.csv,0.47,0.41,0.35,0.41,0.39,0.44,0.41,0.45,0.39,0.38,0.38,0.49,0.53,0.44,0.42
crux-framework.csv,0.99,0.78,0.78,0.92,0.75,0.92,0.96,0.96,0.67,0.79,0.69,0.96,0.88,0.86,0.93
exl.csv,0.47,0.4,0.49,0.38,0.48,0.56,0.76,0.45,0.6,0.63,0.44,0.58,0.69,0.44,0.49
ikvm.csv,0.64,0.56,0.69,0.67,0.54,0.51,0.46,0.74,0.42,0.63,0.68,0.92,0.55,0.93,0.64
irrlicht.csv,0.47,0.37,0.35,0.39,0.38,0.53,0.39,0.44,0.4,0.0,0.38,0.48,0.42,0.46,0.42
les-indemodables.csv,0.51,0.5,0.39,0.39,0.41,0.47,0.49,0.44,0.46,0.39,0.39,0.53,0.53,0.41,0.38
lportal.csv,0.92,0.83,0.92,0.0,0.86,0.9,0.0,0.86,0.83,0.75,0.93,0.54,0.83,0.56,0.75
ns-3-dev-def-routing.csv,0.59,0.5,0.43,0.67,0.39,0.58,0.49,0.47,0.53,0.42,0.54,0.51,0.65,0.41,0.49
qpe.csv,0.54,0.7,0.48,0.79,0.42,0.45,0.41,0.48,0.83,0.46,0.54,0.85,0.58,0.41,0.36
sigil.csv,0.56,0.62,0.44,0.38,0.39,0.57,0.45,0.45,0.68,0.45,0.48,0.49,0.66,0.46,0.45
ultimairis.csv,0.57,0.44,0.35,0.55,0.44,0.45,0.6,0.51,0.4,0.38,0.48,0.5,0.65,0.43,0.45
unflobtactical.csv,0.52,0.49,0.51,0.43,0.36,0.59,0.45,0.45,0.46,0.44,0.48,0.49,0.58,0.45,0.45
xbg.csv,0.99,0.9,0.86,0.83,0.78,0.82,0.97,0.95,0.62,0.94,0.83,0.97,0.92,0.89,0.75
