,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,bzbyte.csv,mediaportal.csv,fityk.csv,poormans.csv,fleet-simulator.csv,chrysalis.csv,duplicati.csv,xamj.csv
botsnscouts.csv,0.1,0.56,0.06,0.5,0.49,0.12,0.96,0.35,0.44,0.02,0.22,0.21,0.71,0.09,0.5,0.06,0.15,0.38,0.31
bzbyte.csv,0.71,0.84,0.68,0.74,0.63,0.8,0.63,0.6,0.79,0.78,0.83,1.0,0.92,0.48,0.74,0.65,0.96,0.57,0.83
chrysalis.csv,0.04,0.12,0.03,0.28,0.36,0.14,0.26,0.23,0.19,0.02,0.0,0.04,0.38,0.02,0.06,0.13,0.89,0.22,0.2
dspace-gsoc.csv,0.41,0.44,0.68,0.33,0.44,0.31,0.44,0.62,0.46,0.41,0.94,0.49,0.28,0.52,0.53,0.46,0.15,0.36,0.4
fbmanager.csv,0.44,0.53,0.97,0.43,0.62,0.5,0.33,0.45,0.9,0.48,0.67,0.63,0.62,0.61,0.53,0.33,0.52,0.4,0.64
fityk.csv,0.43,0.41,0.65,0.63,0.64,0.26,0.48,0.56,0.52,0.41,0.53,0.44,0.58,0.98,0.76,0.11,0.3,0.47,0.63
fleet-simulator.csv,0.85,0.94,0.76,0.93,0.98,0.91,1.0,0.88,0.96,0.81,0.94,0.95,0.93,0.84,0.94,1.0,1.0,0.93,0.98
freenet.csv,0.71,0.66,0.71,0.76,0.99,0.53,0.59,0.64,0.79,0.78,0.81,0.6,0.86,0.7,0.71,0.56,0.67,0.88,0.76
google-caja.csv,0.65,0.75,0.71,0.76,0.81,0.77,0.85,0.97,0.79,0.4,0.81,0.82,0.71,0.68,0.85,0.81,0.81,0.81,0.81
k3b.csv,0.75,0.53,0.82,0.63,0.71,0.41,0.56,0.5,0.77,0.98,0.89,0.42,0.9,0.77,0.68,0.39,0.67,0.59,0.49
mediaportal.csv,0.01,0.22,0.0,0.72,0.63,0.78,0.3,0.68,0.19,0.0,0.03,0.7,0.92,0.02,0.12,1.0,0.33,0.24,0.78
myfaces.csv,0.09,0.56,0.21,0.8,0.71,0.88,0.59,0.64,0.9,0.1,0.22,0.44,0.57,0.16,0.32,0.96,0.33,0.28,0.61
onotoa.csv,0.56,0.72,0.56,0.41,0.7,1.0,0.78,0.68,0.71,0.24,0.44,0.58,0.49,0.5,0.88,0.65,0.85,0.66,0.73
paintown.csv,0.97,0.34,0.44,0.61,0.56,0.76,0.44,0.59,0.73,0.57,0.5,0.54,0.57,0.52,0.65,0.65,0.78,0.38,0.73
poormans.csv,0.37,0.44,0.21,0.5,0.64,0.27,0.41,0.33,0.56,0.31,0.17,0.23,0.72,0.25,1.0,0.46,0.3,0.43,0.48
sqlpower-library.csv,0.69,0.66,0.56,0.98,0.74,0.35,0.96,0.71,0.58,0.55,0.44,0.54,0.91,0.66,0.71,0.65,0.41,0.57,0.64
triplea.csv,0.72,0.97,0.59,0.83,0.8,0.41,0.52,0.62,0.75,0.6,0.67,0.61,0.57,0.66,0.65,0.69,0.89,0.59,0.67
xamj.csv,0.56,0.59,0.56,0.57,0.7,0.49,0.33,0.49,0.73,0.55,0.31,0.56,0.61,0.52,0.68,0.44,0.41,0.41,0.96
