,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.53,0.42,0.56,0.25,0.66,0.56,0.55,0.43,0.29,0.31,0.39,0.8
codesmith.csv,0.29,0.28,0.61,0.3,0.68,0.51,0.49,0.41,0.36,0.27,0.48,0.89
icescrum.csv,0.49,0.45,0.65,0.26,0.82,0.55,0.63,0.47,0.19,0.24,0.73,0.71
ingex.csv,0.31,0.28,0.62,0.19,0.69,0.53,0.53,0.59,0.25,0.37,0.41,0.7
jrefactory.csv,0.23,0.29,0.74,0.15,0.44,0.62,0.44,0.43,0.13,0.28,0.25,0.64
jsecurity.csv,0.45,0.55,0.45,0.41,0.71,0.55,0.57,0.57,0.44,0.14,0.5,0.71
libopenmetaverse.csv,0.27,0.33,0.58,0.19,0.65,0.69,0.51,0.37,0.28,0.24,0.38,0.78
lite.csv,0.26,0.38,0.58,0.28,0.75,0.56,0.6,0.27,0.6,0.34,0.3,0.38
mobicents.csv,0.36,0.42,0.55,0.32,0.9,0.43,0.7,0.37,0.37,0.31,0.42,0.45
opendvr.csv,0.49,0.45,0.47,0.38,0.8,0.49,0.65,0.43,0.32,0.59,0.56,0.59
openefm.csv,0.26,0.59,0.44,0.2,0.75,0.57,0.53,0.32,0.5,0.32,0.42,0.65
sidekar.csv,0.0,0.52,0.0,0.0,0.79,0.0,0.0,0.0,0.29,0.3,0.0,0.0
