,jahshakafx.csv,unladen-swallow.csv,reaper-ecad.csv,psycle.csv,emeraldemu.csv,open-beos.csv,cornerstone.csv,unimrcp.csv,nassp.csv,grafx2.csv,sbml.csv,frogatto.csv,netatalk.csv,quantlib.csv
cornerstone.csv,0.36,0.31,0.26,0.63,0.48,0.59,0.96,0.38,0.39,0.63,0.64,0.62,0.42,0.28
emeraldemu.csv,0.59,0.28,0.29,0.55,0.96,0.35,0.58,0.27,0.34,0.4,0.55,0.51,0.16,0.22
frogatto.csv,0.54,0.31,0.23,0.61,0.5,0.54,0.5,0.37,0.4,0.64,0.8,0.99,0.43,0.24
grafx2.csv,0.52,0.28,0.29,0.65,0.49,0.5,0.61,0.43,0.36,1.0,0.66,0.65,0.52,0.27
jahshakafx.csv,1.0,0.23,0.23,0.35,0.32,0.24,0.3,0.0,0.24,0.0,0.38,0.52,0.12,0.12
nassp.csv,0.43,0.3,0.46,0.53,0.48,0.32,0.49,0.58,1.0,0.34,0.38,0.68,0.55,0.29
netatalk.csv,0.5,0.31,0.38,0.42,0.53,0.45,0.29,0.35,0.4,0.69,0.57,0.32,1.0,0.31
open-beos.csv,0.44,0.29,0.12,0.53,0.54,0.99,0.57,0.34,0.36,0.53,0.5,0.52,0.36,0.33
psycle.csv,0.51,0.21,0.25,0.98,0.48,0.56,0.64,0.53,0.37,0.73,0.77,0.69,0.48,0.26
quantlib.csv,0.26,0.26,0.31,0.56,0.47,0.39,0.56,0.47,0.36,0.67,0.71,0.62,0.31,0.98
reaper-ecad.csv,0.35,0.12,0.98,0.28,0.41,0.25,0.5,0.0,0.52,0.09,0.52,0.49,0.48,0.0
sbml.csv,0.54,0.23,0.27,0.72,0.52,0.56,0.7,0.49,0.4,0.62,0.99,0.67,0.33,0.38
unimrcp.csv,0.55,0.21,0.36,0.38,0.45,0.25,0.56,0.96,0.32,0.34,0.51,0.63,0.12,0.25
unladen-swallow.csv,0.22,0.72,0.0,0.53,0.19,0.19,0.29,0.26,0.39,0.35,0.57,0.47,0.42,0.33
