,reactos-mirror.csv,critterding.csv,etics.csv,badtrinity-zero.csv,mcore3d.csv,xbplayer.csv,kvs.csv,ogrehg.csv,genecys.csv,monetdb.csv,alpine.csv,boost.csv,quarkplayer.csv,gusanos.csv,projecteqemu.csv,modplug.csv,kftpgrabber.csv,enzo.csv,fmri-dmt.csv,passwordsafe.csv
alpine.csv,0.6,1.0,0.24,0.44,0.33,1.0,0.12,0.42,1.0,0.33,0.19,1.0,0.18,1.0,0.44,0.12,0.27,0.12,0.84,0.37
badtrinity-zero.csv,0.05,0.0,0.21,0.35,0.4,0.0,0.75,0.47,0.56,0.76,0.93,0.76,0.16,0.0,0.22,0.58,0.47,0.0,0.27,0.63
boost.csv,0.19,0.32,0.36,0.34,0.56,0.22,0.41,0.37,0.33,0.21,0.14,0.33,0.5,0.1,0.64,0.58,0.5,0.24,0.44,0.36
critterding.csv,0.51,0.24,0.98,0.83,0.84,0.57,0.93,0.8,0.56,0.84,0.87,0.57,0.86,0.55,0.89,0.46,0.87,0.4,0.97,0.89
enzo.csv,0.77,0.61,0.4,0.89,0.58,0.59,0.92,0.53,0.56,0.84,0.84,0.81,0.56,0.48,0.73,0.83,0.44,0.28,0.94,0.76
etics.csv,0.17,0.2,0.17,0.09,0.26,0.26,0.05,0.14,0.33,0.23,0.16,0.2,0.22,0.17,0.11,0.04,0.39,0.04,0.34,0.05
fmri-dmt.csv,0.58,0.66,0.71,0.76,0.63,0.91,0.5,0.72,0.56,0.39,0.51,0.83,0.65,0.72,0.51,0.88,0.68,0.92,0.19,0.68
genecys.csv,0.77,0.88,0.81,0.61,0.82,0.66,0.5,0.85,0.33,0.69,0.73,0.83,0.58,0.97,0.38,0.92,0.92,0.8,0.79,0.33
gusanos.csv,0.22,0.73,0.52,0.44,0.42,0.7,0.3,0.52,0.89,0.89,0.25,0.76,0.38,0.21,0.49,0.46,0.44,0.0,0.6,0.52
kftpgrabber.csv,0.01,0.34,0.02,0.07,0.28,0.3,0.07,0.09,0.11,0.25,0.03,0.1,0.24,0.21,0.24,0.0,0.27,0.04,0.37,0.04
kvs.csv,0.3,0.32,0.24,0.24,0.05,0.34,0.18,0.29,0.11,0.2,0.26,0.31,0.13,0.41,0.29,0.12,0.06,0.16,0.89,0.3
mcore3d.csv,0.09,0.46,0.05,0.29,0.42,0.57,0.71,0.26,0.89,0.37,0.5,0.09,0.42,0.21,0.6,0.21,0.32,0.0,0.56,0.27
modplug.csv,0.85,0.8,0.95,0.83,0.91,0.84,0.75,0.76,0.78,0.84,0.87,0.73,0.99,0.83,0.89,0.29,0.87,0.28,0.82,0.84
monetdb.csv,0.39,0.22,0.02,0.21,0.4,0.15,0.07,0.08,0.0,0.25,0.22,0.44,0.37,0.07,0.33,0.12,0.29,0.04,0.1,0.25
ogrehg.csv,0.1,0.22,0.29,0.2,0.49,0.4,0.28,0.28,0.33,0.39,0.29,0.25,0.34,0.28,0.44,0.5,0.32,0.48,0.56,0.09
passwordsafe.csv,0.2,0.2,0.9,0.45,0.65,0.25,0.51,0.56,0.33,0.49,0.67,0.72,0.37,0.31,0.4,0.17,0.84,0.04,0.5,0.2
projecteqemu.csv,0.39,0.12,0.26,0.13,0.23,0.38,0.01,0.13,0.33,0.19,0.13,0.11,0.28,0.1,0.29,0.0,0.26,0.24,0.29,0.12
quarkplayer.csv,0.41,0.07,0.69,0.44,0.19,0.32,0.53,0.37,0.0,0.12,0.1,0.5,0.3,0.21,0.29,0.08,0.16,0.4,0.35,0.22
reactos-mirror.csv,0.28,0.41,0.95,0.41,0.67,0.4,0.57,0.65,0.56,0.43,0.52,0.3,0.56,0.62,0.53,0.42,0.45,0.4,0.63,0.38
xbplayer.csv,0.23,0.24,0.1,0.3,0.19,0.24,0.03,0.17,0.22,0.11,0.25,0.36,0.31,0.14,0.24,0.46,0.48,0.0,0.35,0.11
