,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.46,0.32,0.48,0.2,0.09,0.57,0.55,0.36,0.27,0.09,0.02,0.5,0.37,0.08,0.53,0.25,0.65
emeraldemu.csv,0.27,0.14,0.16,0.14,0.09,0.16,0.18,0.0,0.07,0.0,0.55,0.22,0.22,0.37,0.38,0.25,0.13
grafx2.csv,0.28,0.36,0.38,0.28,0.27,0.2,0.3,0.25,0.34,0.11,0.4,0.31,0.24,0.0,0.41,0.19,0.41
jahshakafx.csv,0.01,0.18,0.15,0.17,0.09,0.04,0.35,0.16,0.19,0.02,0.23,0.22,0.13,0.08,0.03,0.12,0.12
kindb.csv,0.28,0.4,0.38,0.36,0.18,0.31,0.48,0.3,0.23,0.11,0.4,0.35,0.24,0.13,0.28,0.0,0.45
maya-work-in-progress.csv,0.6,0.69,0.59,0.43,0.55,0.48,0.75,0.72,0.65,0.0,0.91,0.68,0.89,0.66,0.97,0.69,0.7
novembre.csv,0.12,0.11,0.24,0.11,0.18,0.11,0.0,0.13,0.05,0.04,0.21,0.3,0.26,0.24,0.31,0.44,0.08
ns-3.csv,0.49,0.13,0.66,0.54,0.18,0.0,0.78,0.56,0.34,0.62,0.34,0.76,0.61,0.39,0.44,0.25,0.49
nullc.csv,0.97,0.92,0.95,0.99,0.0,0.89,0.9,0.67,0.82,0.94,0.3,0.62,0.98,0.45,0.69,0.69,0.78
open-beos.csv,0.32,0.54,0.35,0.3,0.27,0.47,0.52,0.37,0.0,0.06,0.64,0.54,0.39,0.76,0.5,0.56,0.44
pixel-commandos.csv,0.08,0.26,0.14,0.46,0.0,0.01,0.0,0.08,0.01,0.02,0.06,0.0,0.02,0.05,0.0,0.06,0.0
planeshift.csv,0.76,0.69,0.8,0.88,0.55,0.52,0.7,0.64,0.55,0.74,0.57,0.68,0.02,0.82,0.62,0.94,0.6
plee-the-bear.csv,0.7,0.05,0.0,0.01,1.0,0.93,0.8,0.8,0.91,0.96,0.7,0.96,0.76,0.76,0.78,0.88,0.98
reaper-ecad.csv,0.81,0.66,0.8,0.01,1.0,0.72,0.57,0.66,0.78,0.89,0.6,0.57,0.5,0.89,0.84,0.94,0.77
sbml.csv,0.33,0.6,0.48,0.71,0.18,0.51,0.65,0.65,0.55,0.51,0.49,0.43,0.7,0.13,0.0,0.44,0.6
unimrcp.csv,0.13,0.07,0.07,0.19,0.0,0.05,0.28,0.09,0.01,0.19,0.21,0.01,0.04,0.08,0.06,0.0,0.09
unladen-swallow.csv,0.31,0.02,0.64,0.51,0.73,0.69,0.52,0.52,0.7,0.89,0.17,0.69,0.43,0.55,0.72,0.75,0.75
