,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,kindb.csv,pixel-commandos.csv
cornerstone.csv,0.56,0.49,0.51,0.68,0.6,0.54,0.58,0.61,0.66,0.71,0.46,0.4,0.54,0.5,0.51,0.33,0.53
emeraldemu.csv,0.39,0.65,0.71,0.82,0.6,0.79,0.67,0.63,0.88,0.83,0.44,0.96,0.52,0.81,0.52,0.53,0.79
grafx2.csv,0.39,0.4,0.45,0.67,0.69,0.8,0.55,0.51,0.54,0.53,0.43,0.54,0.51,0.45,0.36,0.33,0.64
jahshakafx.csv,0.5,0.63,0.82,0.84,0.6,0.96,0.61,0.7,0.74,0.8,0.59,0.82,0.75,0.88,0.67,0.58,0.92
kindb.csv,0.35,0.38,0.45,0.44,0.42,0.49,0.39,0.43,0.46,0.47,0.37,0.4,0.41,0.4,0.38,0.36,0.44
maya-work-in-progress.csv,0.39,0.48,0.43,0.44,0.44,0.43,0.33,0.34,0.37,0.5,0.32,0.37,0.35,0.49,0.37,0.38,0.39
novembre.csv,0.68,0.89,0.65,0.87,0.83,0.94,0.83,0.83,0.96,0.89,0.9,0.9,0.67,0.69,0.92,0.61,0.88
ns-3.csv,0.44,0.87,0.51,0.58,0.44,0.5,0.4,0.42,0.43,0.6,0.5,0.42,0.35,0.49,0.54,0.34,0.43
nullc.csv,0.5,0.51,0.42,0.53,0.45,0.43,0.38,0.42,0.44,0.51,0.59,0.48,0.35,0.46,0.44,0.51,0.53
open-beos.csv,0.43,0.55,0.49,0.51,0.45,0.53,0.35,0.5,0.58,0.59,0.44,0.53,0.42,0.54,0.43,0.43,0.49
pixel-commandos.csv,0.98,0.51,0.94,0.63,0.86,0.9,0.5,0.9,0.93,0.67,0.9,0.5,0.97,0.53,0.71,0.8,0.75
planeshift.csv,0.51,0.46,0.45,0.57,0.55,0.49,0.41,0.4,0.44,0.49,0.37,0.42,0.37,0.55,0.38,0.43,0.52
plee-the-bear.csv,0.73,0.99,0.96,0.75,0.58,0.45,0.44,0.48,0.46,0.48,0.41,0.45,0.52,0.8,0.56,0.58,0.45
reaper-ecad.csv,0.56,0.73,0.49,0.96,0.51,0.5,0.47,0.52,0.51,0.52,0.57,0.71,0.53,0.59,0.56,0.5,0.53
sbml.csv,0.4,0.48,0.51,0.58,0.44,0.42,0.38,0.36,0.39,0.63,0.36,0.38,0.33,0.4,0.38,0.39,0.41
unimrcp.csv,0.76,1.0,0.97,0.89,0.7,0.93,0.86,0.98,0.92,0.93,0.78,0.67,0.93,0.83,0.91,0.75,0.89
unladen-swallow.csv,0.99,1.0,0.6,0.83,0.81,0.6,0.61,0.71,0.56,0.52,0.93,0.61,0.79,0.84,0.65,0.47,0.57
