,knowledge.csv,pentahoanalysistool.csv,betoffice.csv,ifmo-game-1.csv,voms.csv,sumatrapdf.csv,projecteqemu.csv
betoffice.csv,0.41,0.18,0.6,0.46,0.33,0.4,0.58
ifmo-game-1.csv,0.02,0.26,0.13,0.84,0.0,0.38,0.13
knowledge.csv,0.88,0.61,0.33,0.47,0.71,0.58,0.6
pentahoanalysistool.csv,0.49,0.69,0.46,0.17,0.56,0.16,0.36
projecteqemu.csv,0.71,0.44,0.09,0.79,0.0,0.66,0.78
sumatrapdf.csv,0.0,0.49,0.51,0.33,0.39,0.78,0.27
voms.csv,0.73,0.73,0.11,0.58,0.88,0.63,0.74
