,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,1.02,0.02,0.92,0.88
columba.csv,0.49,0.95,0.74,0.02
decidr.csv,0.54,0.56,0.01,0.63
jajuk.csv,0.03,0.89,0.55,0.53
