,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.11,1.0,0.35,0.19
columba.csv,0.79,0.11,0.73,0.99
decidr.csv,0.59,0.35,0.99,0.35
jajuk.csv,1.0,0.19,0.77,0.59
