,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.82,0.74,0.59,0.58,0.65,0.05,0.61,0.22,0.39,0.12
aime.csv,0.51,0.56,0.55,0.0,0.66,0.1,0.32,0.1,0.2,0.09
badtrinitycore.csv,0.0,0.05,0.5,0.81,0.52,0.63,0.72,0.3,0.51,0.31
electric-core.csv,0.68,0.58,0.64,0.65,0.5,0.24,0.64,0.6,0.56,0.58
geochat.csv,0.57,0.0,0.42,0.11,0.52,0.0,0.19,0.12,0.3,0.56
mumble.csv,0.4,0.0,0.39,0.11,0.83,0.68,0.84,0.28,0.52,0.59
olsrd.csv,0.57,0.78,0.59,0.67,0.68,0.64,0.66,0.63,0.67,0.69
silvertree.csv,0.17,0.57,0.66,0.6,0.25,0.73,0.69,0.13,0.56,0.37
skia.csv,0.68,0.68,0.6,0.7,0.51,0.32,0.51,0.47,0.66,0.41
t-2.csv,0.56,0.57,0.41,0.54,0.17,0.55,0.62,0.65,0.52,0.61
