,opennms.csv,phet.csv,e-bio-flow.csv,aten.csv,runuomondains.csv,exl.csv
e-bio-flow.csv,0.66,0.96,0.5,0.49,0.5,0.43
exl.csv,0.42,0.45,0.51,0.42,0.53,0.46
opennms.csv,0.62,0.98,0.95,0.9,0.8,0.0
phet.csv,0.59,0.86,0.91,0.58,0.92,0.92
runuomondains.csv,0.48,0.51,0.5,0.59,0.73,0.4
