,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.07,0.99,0.21,0.25
columba.csv,0.63,0.12,0.4,0.98
decidr.csv,0.63,0.47,0.99,0.49
jajuk.csv,0.98,0.28,0.59,0.54
