,jajuk.csv,autoopencas.csv,decidr.csv,columba.csv
autoopencas.csv,0.06,0.98,0.18,0.35
columba.csv,0.57,0.17,0.31,0.98
decidr.csv,0.65,0.66,0.99,0.66
jajuk.csv,0.98,0.42,0.52,0.54
