,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,tcl.csv,decidr.csv,glas.csv
chipster.csv,0.2,0.65,0.44,0.52,0.48,0.95,0.55,0.29,0.13
decidr.csv,0.53,0.54,0.39,0.46,0.43,0.65,0.43,0.97,0.22
glas.csv,0.36,0.15,0.25,0.24,0.54,0.38,0.1,0.52,0.93
hatari.csv,0.51,0.64,0.98,0.54,0.63,0.58,0.51,0.53,0.36
ltp.csv,0.33,0.44,0.41,0.4,0.98,0.47,0.27,0.43,0.23
net-snmp.csv,0.98,0.62,0.32,0.23,0.58,0.48,0.45,0.59,0.55
opde.csv,0.44,0.62,0.45,0.96,0.46,0.42,0.45,0.54,0.23
powerfolder-.csv,0.18,0.97,0.17,0.1,0.09,0.18,0.3,0.23,0.0
tcl.csv,0.18,0.33,0.09,0.23,0.16,0.39,0.97,0.44,0.65
