,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.24,0.31,1.0,0.35
hibernate.csv,0.12,0.43,0.3,0.97
lamp.csv,1.0,0.12,0.13,0.14
thout.csv,0.12,0.95,0.39,0.35
