,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.62,0.52,0.91,0.76,0.79,0.7,0.61,0.58,0.04,0.88,0.71,0.89,0.82,0.75,0.58,0.84,0.58,0.46
encog-cs.csv,0.57,0.89,0.74,0.66,0.8,0.75,0.05,0.87,0.95,0.79,0.79,0.7,0.88,0.67,0.8,0.77,0.78,1.0
geochat.csv,0.9,1.01,0.98,0.92,0.87,0.81,0.93,0.86,0.91,0.89,0.86,0.86,0.37,0.99,0.79,0.86,0.1,1.0
ibatisdb.csv,0.79,0.63,0.64,0.64,0.77,0.87,0.87,0.77,0.95,0.64,0.82,0.0,0.64,0.71,0.84,0.64,0.78,0.9
inkscape.csv,0.58,0.63,0.02,0.73,0.66,0.74,0.87,0.94,0.94,0.91,0.91,0.93,0.63,0.74,0.98,0.84,0.87,0.65
jam-daq.csv,0.63,0.49,0.56,0.56,0.63,0.79,0.63,0.02,0.74,0.81,0.74,0.83,0.81,0.56,0.61,0.71,0.89,0.53
jhotdraw.csv,0.88,0.63,1.0,0.98,0.92,0.05,0.92,0.87,0.99,0.68,0.95,0.92,0.81,0.98,0.67,1.0,0.85,0.9
ninject.csv,1.0,0.43,0.96,0.98,0.92,0.61,0.91,0.93,0.96,0.86,0.82,0.33,0.0,0.98,0.83,1.0,0.88,0.79
ofbiz.csv,0.75,0.33,0.69,0.56,0.67,0.64,0.81,0.84,0.92,0.91,0.03,0.82,0.51,0.54,0.86,0.76,0.75,0.61
oorexx.csv,0.51,0.68,0.6,0.56,0.75,0.46,0.62,0.65,0.8,0.88,0.64,0.58,0.37,0.56,0.58,0.06,0.79,0.55
opentibia.csv,0.0,0.52,0.91,0.88,0.9,0.66,0.57,0.65,0.85,0.77,0.56,0.84,0.35,0.88,0.76,0.92,0.65,0.47
projectts.csv,0.61,0.61,0.69,0.57,0.04,0.73,0.67,0.63,0.55,0.68,0.57,0.46,0.81,0.57,0.59,0.55,0.87,0.52
retromenu.csv,0.9,0.05,0.91,0.69,0.89,0.89,0.82,0.87,0.89,0.9,0.81,0.92,0.8,0.62,0.87,0.83,0.9,0.96
roolo.csv,0.96,0.91,1.01,0.88,0.95,0.92,0.94,0.96,0.93,0.0,0.84,0.98,0.83,0.97,0.92,1.0,0.99,0.97
tango-cs.csv,0.67,0.62,0.7,0.56,0.7,0.72,0.63,0.56,0.77,0.82,0.8,0.68,0.81,0.55,0.07,0.62,0.65,0.7
trinitycore.csv,0.88,0.82,0.78,0.14,0.86,0.74,0.7,0.85,0.94,0.63,0.75,0.74,0.84,0.05,0.86,0.71,0.78,1.02
uface.csv,0.84,0.95,0.91,0.92,1.0,0.72,0.83,0.87,0.7,0.69,0.75,0.61,0.77,0.92,0.71,0.88,0.79,0.02
uwom-server.csv,0.8,0.7,0.74,0.14,0.67,0.64,0.72,0.59,0.83,0.88,0.62,1.09,0.62,0.24,0.71,0.87,0.82,0.89
