,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.68,0.42,0.0,0.88,0.63,0.53,0.89,0.78,0.62,0.33
pclasses.csv,0.0,0.19,0.0,0.06,0.0,0.02,0.08,0.0,0.08,0.11
pfaedit.csv,0.05,0.48,0.34,0.44,0.0,0.02,0.53,0.63,0.49,0.78
theresa.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thrust.csv,0.34,0.12,0.38,0.56,0.8,0.02,0.13,0.29,0.28,0.33
tktoolkit.csv,0.57,0.15,0.03,0.24,0.6,0.55,0.18,0.0,0.26,0.33
trinitycore.csv,0.11,0.19,0.1,0.28,0.17,0.11,0.11,0.21,0.01,0.22
tzod.csv,0.04,0.02,0.45,0.06,0.46,0.0,0.37,0.57,0.42,0.33
yaprm.csv,0.29,0.12,0.62,0.2,0.54,0.57,0.03,0.12,0.24,0.0
zemljanka.csv,0.98,1.0,1.0,0.98,0.97,0.87,0.95,0.99,0.99,0.11
