,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,quark.csv,pnotepad.csv
bacnet.csv,0.57,0.23,0.56,0.33,0.7,0.3,0.34,0.39,0.45,0.66,0.65,0.2
gamestone.csv,0.02,0.12,0.17,0.4,0.37,0.0,0.07,0.34,0.25,0.28,0.12,0.1
gbif-providertoolkit.csv,0.55,0.48,0.28,0.39,0.3,0.48,0.58,0.23,0.38,0.49,0.31,0.6
heekscad.csv,0.26,0.27,0.25,0.31,0.49,0.26,0.47,0.34,0.48,0.22,0.77,0.5
igarden.csv,0.15,0.21,0.07,0.36,0.22,0.17,0.16,0.18,0.52,0.07,0.54,0.1
levent.csv,0.72,0.31,0.14,0.11,0.61,0.3,0.61,0.13,0.0,0.13,0.02,0.2
lportal.csv,0.19,0.06,0.15,0.06,0.0,0.09,0.0,0.28,0.19,0.01,0.08,0.0
openmsx.csv,0.32,0.85,0.34,0.71,0.16,0.26,0.15,0.41,0.0,0.34,0.17,0.7
owlapi.csv,0.74,0.31,0.49,0.36,0.79,0.65,0.96,0.28,0.2,0.85,0.62,0.6
pnotepad.csv,0.19,0.54,0.72,0.97,0.9,0.52,0.53,0.85,0.98,0.77,1.0,0.0
quark.csv,0.15,0.02,0.03,0.01,0.1,0.0,0.0,0.09,0.06,0.04,0.27,0.0
xcsoar.csv,0.21,0.12,0.27,0.47,0.39,0.35,0.31,0.34,0.5,0.51,1.0,0.1
