,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv
jparsec.csv,0.95,0.63,0.42,1.0,0.25
minig.csv,0.98,0.57,0.32,1.0,0.03
ossbuild.csv,0.18,0.26,0.32,0.24,0.16
rezilla.csv,0.28,0.17,0.09,0.41,0.0
webdriver.csv,0.18,0.26,0.72,0.03,0.41
