,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv
jparsec.csv,0.32,0.39,0.4,0.13,0.65
minig.csv,0.33,0.46,0.56,0.13,0.6
ossbuild.csv,0.36,0.66,0.43,0.33,0.5
rezilla.csv,0.56,0.36,0.68,0.09,0.0
webdriver.csv,0.22,0.7,0.36,0.0,0.46
