,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.09,0.0,0.0,0.0,0.21,0.0,0.92,0.18,0.06,0.05,0.05,0.22
dvt.csv,0.19,0.15,0.32,1.0,0.37,0.05,0.18,0.33,0.71,0.79,0.24,0.08
flylinkdc.csv,0.99,0.18,0.15,0.18,0.54,0.13,0.16,0.43,0.28,0.22,0.53,0.25
fulguro.csv,0.25,0.25,0.14,0.19,0.16,0.0,0.17,0.25,0.0,0.06,0.24,0.95
fw4spl.csv,0.15,0.16,0.46,0.22,0.42,0.97,0.4,0.33,0.09,0.12,0.39,0.18
ipfire-wall.csv,0.25,0.18,0.36,0.26,0.15,0.2,0.23,1.0,0.95,0.32,0.3,0.32
jruby.csv,0.31,0.16,0.85,0.39,0.39,0.16,0.15,0.14,0.17,0.99,0.22,0.13
ldview.csv,0.32,0.27,0.42,0.23,0.93,0.15,0.29,0.39,0.51,0.54,0.5,0.28
nuttx.csv,0.4,0.13,0.99,0.54,0.17,0.24,0.0,0.39,0.98,0.84,0.52,0.22
oorexx.csv,0.4,0.13,0.41,0.4,0.46,0.25,0.26,0.42,0.84,0.66,0.97,0.25
uclmda.csv,0.26,0.13,0.72,0.46,0.39,0.17,0.24,0.26,1.0,0.65,0.6,0.15
vdsf.csv,0.37,0.91,0.88,0.39,0.54,0.2,0.42,0.46,0.95,0.89,0.72,0.19
