,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.06,0.02,0.19,0.67,0.0,0.07,0.29,0.24,0.34,0.48,0.32,0.62,0.47,0.31
boost-sandbox.csv,0.51,0.7,0.2,0.18,0.82,0.77,0.24,0.23,0.56,0.65,0.5,0.35,0.0,0.54
customwars.csv,0.47,0.54,0.2,0.6,0.3,0.44,0.32,0.36,0.51,0.4,0.48,0.21,0.32,0.62
dvd-create.csv,0.48,0.75,0.26,0.56,0.85,0.8,0.0,0.27,0.62,0.65,0.52,0.56,0.21,0.87
frogatto.csv,0.44,0.7,0.68,0.68,0.75,0.64,0.41,0.3,0.65,0.67,0.54,0.42,0.29,0.89
glelite.csv,0.45,0.78,0.27,0.71,0.85,0.54,0.35,0.29,0.61,0.65,0.55,0.36,0.2,0.98
go.csv,0.45,0.79,0.2,0.62,0.53,0.79,0.0,0.26,0.42,0.7,0.51,0.41,0.2,0.7
irplus.csv,0.49,0.27,0.68,0.53,0.36,0.3,0.43,0.34,0.53,0.63,0.58,0.51,0.48,0.32
lsb.csv,0.37,0.58,0.62,0.62,0.84,0.38,0.12,0.24,0.51,0.58,0.5,0.35,0.16,0.43
moving-pictures.csv,0.46,0.28,0.27,0.1,0.13,0.63,0.0,0.27,0.65,0.66,0.49,0.36,0.3,0.44
mpgravity.csv,0.43,0.74,0.33,0.49,0.8,0.84,0.65,0.26,0.43,0.64,0.52,0.39,0.25,0.78
plearn.csv,0.57,0.55,0.07,0.22,0.4,0.5,0.39,0.19,0.49,0.56,0.55,0.27,0.32,0.67
rebecca-aiml.csv,0.42,0.71,0.5,0.63,0.59,0.51,0.0,0.26,0.65,0.73,0.53,0.79,0.19,0.67
wxcode.csv,0.47,0.55,0.2,0.57,0.31,0.29,0.44,0.27,0.43,0.36,0.48,0.2,0.47,0.56
