,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv
abbot.csv,0.68,0.42,0.04,0.11,0.11,0.56,0.4,0.82
jicarilla.csv,0.06,0.0,0.85,0.0,0.0,0.0,0.05,0.52
optalgtoolkit.csv,0.28,0.33,0.14,0.1,0.1,0.6,0.33,0.69
ossim.csv,0.31,0.3,0.33,0.22,0.0,0.41,0.56,0.79
projectts.csv,0.66,0.34,0.09,0.13,0.12,0.46,0.6,0.04
sabbu.csv,0.73,0.36,0.14,0.14,0.14,0.26,0.51,0.19
vxl.csv,0.6,0.34,0.14,0.15,0.06,0.36,0.47,0.29
zact.csv,0.48,0.09,0.63,0.13,0.23,0.0,0.58,0.37
