,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.53,0.88,0.54,0.71,0.46,0.67,0.89,0.43,0.7,0.7,0.71
gbif-providertoolkit.csv,0.85,0.8,0.0,0.67,0.93,0.9,0.92,0.0,0.75,0.95,0.68
geochat.csv,0.63,0.5,0.51,0.59,0.4,0.44,0.48,0.48,0.67,0.57,0.83
heekscad.csv,0.44,0.53,0.38,0.33,0.57,0.41,0.64,0.6,0.59,0.51,0.5
igarden.csv,0.58,0.65,0.62,0.72,0.88,0.59,0.63,0.48,0.67,0.59,0.71
jstock.csv,0.8,0.5,0.88,0.0,0.88,0.5,0.71,0.77,0.83,0.95,0.96
levent.csv,0.61,0.82,0.87,0.53,0.4,0.44,0.51,0.52,0.67,0.61,0.63
piccolo2d.csv,0.0,0.0,0.0,0.0,0.5,0.92,0.5,0.0,0.0,0.0,0.8
pnotepad.csv,0.43,0.43,0.35,0.34,0.33,0.36,0.37,0.34,0.4,0.4,0.42
trinitycore.csv,0.62,0.64,0.92,0.6,0.59,0.68,0.75,0.55,0.65,0.78,0.77
xcsoar.csv,0.43,0.57,0.48,0.51,0.4,0.4,0.48,0.5,0.55,0.43,0.61
