,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.29,1.0,0.43,0.19,0.5,0.62,0.18,0.38,0.19,0.24,0.27
gbif-providertoolkit.csv,0.29,0.0,0.02,0.03,1.0,0.15,0.2,0.08,0.04,0.11,0.17
geochat.csv,0.53,0.38,0.5,0.45,1.0,0.77,0.92,0.46,0.31,0.4,1.0
heekscad.csv,0.95,0.62,0.62,0.81,0.43,0.92,0.27,0.46,0.46,0.55,0.4
igarden.csv,0.47,0.38,0.43,0.94,0.36,0.38,0.33,0.46,0.35,0.38,0.4
jstock.csv,0.06,0.25,0.11,0.03,0.29,0.08,0.24,1.0,0.1,0.09,0.2
levent.csv,0.4,0.12,0.3,0.58,0.71,0.69,1.0,0.54,0.27,0.38,0.3
piccolo2d.csv,0.0,0.0,0.02,0.0,0.0,0.92,0.04,0.0,0.0,0.02,0.07
pnotepad.csv,0.94,0.88,0.93,0.81,0.86,0.92,0.67,0.62,0.98,0.8,0.83
trinitycore.csv,0.3,0.38,0.21,0.39,0.29,0.46,0.06,0.23,0.31,0.96,0.3
xcsoar.csv,0.58,0.5,0.96,0.42,0.5,1.0,0.33,0.38,0.4,0.58,0.4
