,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,0.73,0.0,0.59,0.84,0.59,0.42,0.82,0.72,0.82,0.78,0.75
gbif-providertoolkit.csv,0.76,1.0,0.98,0.97,0.0,0.85,0.8,0.92,0.98,0.9,0.87
geochat.csv,0.58,0.66,0.54,0.65,0.84,0.83,0.79,0.67,0.69,0.68,0.0
heekscad.csv,0.05,0.46,0.44,0.6,0.63,0.46,0.74,0.58,0.54,0.6,0.67
igarden.csv,0.55,0.68,0.6,0.06,0.66,0.74,0.69,0.67,0.65,0.73,0.67
jstock.csv,0.94,0.75,0.89,0.97,0.72,0.92,0.76,0.0,0.9,0.91,0.82
levent.csv,0.61,0.9,0.7,0.5,0.47,0.48,0.0,0.56,0.88,0.71,0.75
piccolo2d.csv,1.0,1.0,0.98,1.0,1.0,0.08,0.96,1.0,1.0,0.98,0.93
pnotepad.csv,0.71,0.72,0.76,0.86,0.73,0.57,0.65,0.74,0.02,0.68,0.64
trinitycore.csv,0.71,0.79,0.8,0.69,0.95,0.73,0.94,0.98,0.72,0.04,0.81
xcsoar.csv,0.46,0.54,0.04,0.66,0.7,0.51,0.71,0.69,0.61,0.59,0.65
