,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,piccolo2d.csv,levent.csv,jstock.csv,pnotepad.csv,trinitycore.csv,geochat.csv
gamestone.csv,2.0,0.0,0.0,5.0,9.0,1.0,0.0,0.0,1.0,10.0,3.0
gbif-providertoolkit.csv,5.0,59.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,8.0,0.0
geochat.csv,1.0,3.0,5.0,0.0,3.0,31.0,0.0,6.0,0.0,1.0,0.0
heekscad.csv,0.0,7.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,11.0,1.0
igarden.csv,1.0,13.0,0.0,0.0,0.0,13.0,0.0,4.0,0.0,4.0,6.0
jstock.csv,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,10.0
levent.csv,0.0,8.0,3.0,1.0,9.0,9.0,0.0,2.0,2.0,5.0,0.0
piccolo2d.csv,123.0,59.0,0.0,102.0,80.0,0.0,0.0,55.0,57.0,0.0,3.0
pnotepad.csv,1.0,5.0,0.0,3.0,2.0,9.0,0.0,1.0,0.0,7.0,7.0
trinitycore.csv,4.0,19.0,9.0,4.0,5.0,27.0,1.0,4.0,0.0,0.0,8.0
xcsoar.csv,0.0,3.0,0.0,5.0,22.0,10.0,1.0,7.0,0.0,3.0,1.0
