,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.06,0.57,0.55,0.75,0.76,0.67,0.77,0.55,0.96,0.67,0.84
bscwweasel.csv,0.04,0.14,0.61,0.65,0.52,0.5,0.39,0.67,0.3,0.83,0.63
capcode.csv,0.02,1.0,0.77,0.85,0.43,0.67,0.46,0.25,0.57,0.28,0.5
lamp.csv,0.32,0.64,0.32,0.7,0.76,0.83,0.66,0.42,0.48,0.67,0.6
nodal.csv,0.0,0.0,0.3,0.5,0.33,0.58,0.02,0.18,0.61,0.72,0.5
pydev.csv,0.91,0.5,0.45,0.65,0.95,0.83,0.34,0.8,0.39,0.75,0.8
retromenu.csv,0.01,0.36,0.25,0.3,0.76,0.17,0.77,0.15,0.17,0.19,0.23
smbopensoft.csv,0.82,1.0,0.84,0.6,0.67,0.33,0.74,0.31,0.65,0.58,0.62
stuproa-cims.csv,0.15,0.14,0.55,0.45,0.81,0.33,0.02,0.65,0.52,0.64,0.83
thout.csv,0.22,1.0,0.57,0.25,0.52,1.0,0.95,0.8,0.91,0.33,0.54
uface.csv,1.0,1.0,0.91,0.85,1.0,0.75,0.94,0.69,0.61,0.47,0.94
