,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,uface.csv
boost-sandbox.csv,0.07,0.53,0.58,0.66,0.7,0.58,0.7,0.52,0.42,0.6,0.76
bscwweasel.csv,0.05,0.17,0.63,0.67,0.55,0.53,0.42,0.49,0.34,0.65,0.66
capcode.csv,0.02,0.41,0.71,0.56,0.47,0.68,0.47,0.29,0.6,0.33,0.54
lamp.csv,0.36,0.66,0.37,0.59,0.39,0.56,0.46,0.47,0.5,0.65,0.52
nodal.csv,0.0,0.0,0.34,0.51,0.34,0.61,0.02,0.21,0.65,0.69,0.55
pydev.csv,0.43,0.53,0.49,0.59,0.82,0.55,0.37,0.39,0.42,0.74,0.58
retromenu.csv,0.01,0.4,0.29,0.35,0.76,0.2,0.61,0.18,0.2,0.23,0.27
smbopensoft.csv,0.82,0.13,0.29,0.54,0.43,0.36,0.62,0.35,0.65,0.49,0.65
stuproa-cims.csv,0.18,0.17,0.54,0.49,0.67,0.37,0.02,0.67,0.51,0.6,0.73
thout.csv,0.26,0.05,0.6,0.29,0.51,0.3,0.3,0.35,0.52,0.37,0.57
uface.csv,0.0,0.0,0.2,0.71,0.61,0.63,0.0,0.59,0.58,0.49,0.94
