,jajuk.csv,zorannt.csv,vapor.csv,bacula.csv
bacula.csv,0.59,0.72,0.51,0.63
jajuk.csv,0.74,0.75,0.68,0.68
vapor.csv,0.43,0.56,0.51,0.13
zorannt.csv,0.58,0.68,0.5,0.63
