,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,bscwweasel.csv,retromenu.csv,capcode.csv,botsnscouts.csv,nodal.csv,st-filteredstatistics.csv,lcfizvtop.csv,avisynth2.csv,powerfolder.csv,bzbyte.csv,mediaportal.csv,emite.csv,duplicati.csv,uface.csv
avisynth2.csv,1.0,1.0,1.0,1.0,0.78,0.85,0.86,0.92,0.97,0.91,0.87,0.91,0.03,0.8,0.77,0.72,0.97,0.98,0.95
botsnscouts.csv,0.51,0.91,0.58,0.41,0.61,0.61,0.98,0.93,0.37,0.78,0.51,0.73,0.48,0.67,0.67,0.58,0.59,0.5,0.3
bscwweasel.csv,0.56,0.99,0.61,0.77,0.71,0.4,0.53,0.62,0.79,0.65,0.76,0.84,0.87,0.44,0.64,0.64,0.89,0.67,0.42
bzbyte.csv,0.97,1.0,0.92,1.0,0.83,0.84,0.93,0.66,0.71,1.0,0.85,1.0,1.0,1.0,0.45,1.0,1.0,1.02,0.99
capcode.csv,0.85,1.0,0.57,0.83,0.63,0.65,0.86,0.36,0.81,0.66,0.6,0.81,0.85,0.68,0.67,0.69,0.84,1.02,0.66
emite.csv,0.73,0.53,0.91,0.75,0.74,0.8,0.49,0.85,0.68,0.85,0.58,0.74,0.4,1.0,0.74,0.63,0.5,0.95,0.63
fbmanager.csv,0.84,0.93,0.85,0.36,0.51,0.8,0.42,0.57,0.55,0.73,0.69,0.48,0.94,0.37,0.65,1.0,0.94,0.36,0.42
lcfizvtop.csv,0.75,0.96,0.62,0.63,0.71,0.61,0.71,0.62,0.54,0.78,0.75,0.29,1.0,0.41,0.59,0.74,0.72,0.45,0.36
mediaportal.csv,0.79,0.94,0.69,0.94,0.64,0.56,0.44,0.6,0.68,0.91,0.59,0.83,0.68,0.8,0.82,0.5,0.94,0.72,0.73
nodal.csv,0.8,0.99,0.7,0.92,0.78,0.68,0.77,0.49,0.81,0.46,0.68,0.92,1.03,0.72,0.84,0.71,0.87,0.67,0.41
paintown.csv,0.34,1.0,0.59,0.77,1.0,0.97,0.92,1.0,1.01,0.97,1.0,0.69,0.94,0.91,0.65,0.69,0.82,1.09,1.0
powerfolder.csv,0.58,0.81,0.85,0.57,0.71,0.68,0.52,0.89,0.74,0.79,0.78,0.52,0.41,0.09,0.7,0.68,0.94,0.86,0.81
retromenu.csv,0.97,0.99,0.88,0.68,0.89,0.85,0.29,0.85,0.7,0.65,0.62,0.91,1.0,0.8,0.81,0.56,0.67,0.86,0.73
smbopensoft.csv,0.95,0.25,0.86,0.81,0.67,0.73,0.87,0.57,0.93,0.61,1.0,0.66,0.9,0.83,0.84,0.94,0.84,1.0,0.4
sqlpower-library.csv,0.99,0.98,0.92,0.9,0.41,0.76,0.45,0.79,1.0,0.79,0.85,1.0,1.0,0.83,0.96,1.0,0.86,1.0,0.6
st-filteredstatistics.csv,0.49,0.93,0.89,0.64,0.87,0.65,0.89,0.79,0.52,0.91,0.37,0.85,0.5,0.65,0.76,0.78,0.72,1.01,0.88
triplea.csv,0.5,0.79,0.42,0.52,0.63,0.81,0.76,0.77,0.65,0.67,0.69,0.65,0.6,0.58,0.7,0.59,0.69,0.28,0.65
uface.csv,0.69,1.0,0.92,0.77,0.59,0.48,0.71,0.7,0.89,0.68,0.92,0.71,1.0,0.77,0.84,0.88,0.58,1.0,0.09
