,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.27,0.5,0.21,0.08,0.22,0.17,0.18,0.2,0.2,0.87
aubit4gl.csv,0.37,0.67,0.64,0.31,0.98,0.22,0.54,0.47,0.31,0.47
liferea.csv,0.27,0.0,0.29,0.92,0.2,0.48,0.29,0.41,0.35,0.5
moving-pictures.csv,0.59,0.5,0.64,0.15,0.39,0.57,1.0,0.3,0.65,0.5
opensim4opencog.csv,0.15,0.0,0.36,0.15,0.11,0.87,0.07,0.09,0.15,0.0
plearn.csv,0.85,0.17,0.36,0.31,0.8,0.17,0.64,0.46,0.83,0.67
psrchive.csv,0.1,0.0,0.86,0.08,0.07,0.09,0.0,0.16,0.15,0.1
re2c.csv,0.51,1.0,0.93,0.15,0.59,0.3,0.46,0.58,0.81,0.3
rebecca-aiml.csv,0.27,0.17,0.36,0.23,0.74,0.3,0.39,0.46,0.98,0.4
xfce.csv,0.71,0.83,0.71,0.85,0.59,0.91,0.75,0.96,0.59,0.67
