,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.84,0.92,0.86,0.0,0.94,0.94,0.8,0.82,0.91,0.88
aubit4gl.csv,0.69,0.76,0.54,0.53,0.48,0.98,0.52,0.7,0.63,0.78
liferea.csv,0.78,0.7,0.78,0.83,0.75,0.53,0.69,0.49,0.7,0.65
moving-pictures.csv,0.54,0.48,0.49,0.75,0.53,0.66,0.5,0.77,0.54,0.68
opensim4opencog.csv,0.94,0.86,0.8,0.8,0.88,0.95,0.67,0.95,0.91,0.8
plearn.csv,0.73,0.38,0.75,0.62,0.41,0.76,0.43,0.78,0.62,0.57
psrchive.csv,0.89,0.75,0.92,0.67,0.88,0.86,0.0,0.97,0.93,0.91
re2c.csv,0.55,0.86,0.46,0.52,0.57,0.8,0.57,0.54,0.53,0.82
rebecca-aiml.csv,0.9,0.0,0.64,0.68,0.38,0.75,0.47,0.57,0.66,0.64
xfce.csv,0.48,0.42,0.52,0.4,0.43,0.42,0.33,0.47,0.51,0.48
