,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.35,0.33,0.29,0.14,0.34,0.2,0.3,0.31,0.23,0.81
aubit4gl.csv,0.3,0.3,0.27,0.19,0.95,0.15,0.55,0.58,0.22,0.28
liferea.csv,0.29,0.0,0.22,0.96,0.28,0.27,0.39,0.55,0.42,0.37
moving-pictures.csv,0.5,0.15,0.25,0.24,0.46,0.2,1.0,0.42,0.36,0.27
opensim4opencog.csv,0.24,0.0,0.34,0.22,0.19,0.93,0.13,0.16,0.25,0.0
plearn.csv,0.9,0.07,0.29,0.22,0.65,0.11,0.55,0.55,0.64,0.3
psrchive.csv,0.18,0.0,0.92,0.12,0.13,0.13,0.0,0.26,0.24,0.15
re2c.csv,0.45,0.92,0.37,0.11,0.61,0.13,0.46,0.63,0.47,0.17
rebecca-aiml.csv,0.36,0.29,0.24,0.19,0.63,0.19,0.38,0.57,0.99,0.25
xfce.csv,0.43,0.2,0.31,0.42,0.56,0.29,0.58,0.97,0.34,0.3
