,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv
adobe-source.csv,0.11,0.18,0.05,0.0,0.08,0.08,0.0,0.13,0.24,0.06
aubit4gl.csv,0.47,0.33,0.57,0.59,0.1,0.22,0.39,0.38,0.66,0.42
liferea.csv,0.24,0.2,0.25,0.0,0.27,0.28,0.16,0.14,0.14,0.28
moving-pictures.csv,0.32,0.59,0.64,0.05,0.35,0.57,0.0,0.32,0.78,0.49
opensim4opencog.csv,0.05,0.14,0.13,0.07,0.04,0.0,0.03,0.05,0.02,0.04
plearn.csv,0.01,0.39,0.2,0.45,0.75,0.28,0.61,0.51,0.31,0.64
psrchive.csv,0.02,0.08,0.0,0.05,0.08,0.03,0.03,0.05,0.05,0.06
re2c.csv,0.3,0.02,0.59,0.48,0.4,0.47,0.48,0.58,0.69,0.52
rebecca-aiml.csv,0.1,0.0,0.31,0.36,0.69,0.27,0.61,0.35,0.0,0.42
xfce.csv,0.65,0.75,0.53,0.66,0.6,0.62,0.77,0.05,0.8,0.62
