,id,max_bell,avge,median,bellwether
0,1,9,7.33,0.96,cme.csv
1,12,2,1.5,0.315,empyrean.csv
2,15,11,7.92,0.48,xined.csv
3,29,19,13.55,0.65,lportal.csv
4,50,4,4.0,0.33,customsagetv.csv
5,56,2,2.67,0.28,columba.csv
6,60,8,6.78,0.47,sidekar.csv
