,id,max_bell,avge,median,bellwether
0,1,5,2.44,0.67,mevenide.csv
1,12,2,1.5,0.71,pi-qmc.csv
2,15,4,1.38,0.46,reaper-ecad.csv
3,29,4,2.45,0.555,gtad.csv
4,50,3,1.4,0.67,customsagetv.csv
5,56,1,0.67,0.65,modellus.csv
6,60,2,1.56,0.6,gwanted.csv
