,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
55,2,1,1,1,1,1,0,0,logicmail.csv
51,3,2,2,5,4,5,5,9,unbvision.csv
50,4,1,2,5,3,4,12,15,lamp.csv
57,5,1,2,3,4,6,11,10,cuberok.csv
21,6,6,0,6,10,7,12,13,triplea.csv
17,7,2,4,8,6,5,12,17,geotools.csv
27,8,5,2,7,9,9,15,18,ontopia.csv
16,9,0,1,2,1,6,10,9,mesa3d.csv
24,10,1,4,5,1,3,7,8,beast-mcmc.csv
56,13,1,2,2,2,2,6,5,amanda.csv
58,14,1,1,2,1,1,1,1,gpsmid.csv
18,16,7,7,11,6,5,6,13,lphant.csv
23,17,0,1,1,1,5,7,5,fm-classic.csv
14,18,1,3,5,1,4,6,7,chrysalis.csv
25,19,5,4,9,5,1,4,8,twostep.csv
13,20,3,1,5,2,3,5,7,thout.csv
28,21,1,2,7,1,1,1,6,kolmafia.csv
59,22,5,5,8,6,9,16,16,fltk.csv
49,23,7,8,12,4,1,5,14,yield.csv
48,24,3,4,6,3,3,8,9,reactos-mirror.csv
60,25,5,3,6,5,4,3,8,carabiner.csv
26,26,2,3,3,3,5,5,6,clamav.csv
15,27,0,3,3,0,1,5,4,findbugs.csv
22,28,2,6,8,5,8,10,13,unimrcp.csv
38,30,2,5,5,2,2,5,5,flylinkdc.csv
33,31,2,4,4,2,2,7,8,boost-sandbox.csv
5,32,4,5,8,5,5,15,14,ns-3-dev-def-routing.csv
12,33,0,2,3,0,7,8,11,maidsafe-dht.csv
11,34,2,2,2,2,2,4,3,qmmp.csv
6,35,2,3,3,2,1,2,1,maya-work-in-progress.csv
32,36,3,2,5,4,3,7,7,jcache.csv
39,37,1,2,3,0,3,7,6,quarkplusplus.csv
31,38,1,2,5,0,1,6,6,net-snmp.csv
40,39,0,0,0,0,1,3,2,archive-crawler.csv
53,40,3,3,7,2,3,2,8,superwaba.csv
46,41,7,8,12,7,7,18,18,xtreemfs.csv
19,42,1,2,1,2,4,4,3,img-browse-sort.csv
30,43,7,3,4,9,11,14,15,nativeclient.csv
29,44,6,6,11,5,4,14,17,alsa.csv
20,45,2,6,5,2,6,11,10,ossbuild.csv
45,46,4,6,8,2,4,10,9,olap-navigator.csv
54,47,2,5,4,3,9,11,11,myfaces.csv
47,48,3,6,7,2,4,12,13,ng4j.csv
52,49,1,2,1,5,10,11,10,ktc.csv
8,51,2,6,4,3,6,9,10,jstock.csv
41,52,2,2,3,3,8,7,13,irplus.csv
37,53,4,2,7,3,1,7,8,xcf.csv
36,54,3,1,2,2,2,1,2,silvertree.csv
42,55,2,2,4,2,4,5,6,go.csv
4,57,0,3,3,1,6,6,5,h2database.csv
9,58,3,1,4,6,7,9,10,modellus.csv
1,59,2,3,2,2,3,2,3,columba.csv
0,61,7,5,12,8,5,14,16,openwbem.csv
35,62,3,2,3,4,5,7,8,jgnash.csv
43,63,3,7,12,3,2,2,16,kaffeine.csv
44,64,3,1,1,9,12,18,16,mptvseries.csv
34,65,1,2,4,5,10,13,12,gwanted.csv
2,66,3,3,5,6,6,11,13,loki-lib.csv
10,67,3,3,5,5,7,12,15,oscarmcmaster.csv
3,68,0,0,1,0,1,4,3,mpqc.csv
7,69,1,1,2,1,1,2,1,ambulant.csv
