,id,max_bell,avge,median,bellwether
0,1,8,7.89,1.0,logicmail.csv
1,12,1,1.5,0.7849999999999999,multitude.csv
2,15,13,11.23,1.0,benojt.csv
3,29,19,14.65,1.0,sylpheed-claws.csv
4,50,4,3.6,0.88,glelite.csv
5,56,3,3.0,0.89,raven-monitoring.csv
6,60,7,6.56,1.0,magicwars.csv
