,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv
adobe-source.csv,0.27,0.22,0.36,0.0,0.0,0.33,0.46,0.09,0.24,0.65,0.0,0.54,0.38,0.7,0.57
atlc.csv,0.64,0.37,0.57,0.92,0.83,0.67,0.48,0.83,1.0,0.57,0.91,0.81,0.71,0.87,0.72
ipfilter.csv,0.73,0.44,0.64,0.85,0.68,0.67,0.81,0.87,0.94,0.65,0.96,0.83,0.86,0.87,0.98
liferea.csv,0.91,0.52,0.57,0.69,0.41,1.0,0.24,0.39,0.18,0.59,0.26,0.54,0.48,0.17,0.52
miranda-icq.csv,0.55,0.52,0.86,1.0,1.0,1.0,0.31,0.91,0.41,0.46,0.04,0.58,0.7,0.67,0.54
opensim4opencog.csv,0.82,0.7,0.71,0.62,0.27,1.0,0.85,0.57,0.18,0.84,0.48,0.46,0.57,0.53,0.46
pclasses.csv,0.91,0.52,0.14,0.08,0.0,0.0,0.09,0.52,0.0,0.08,0.04,0.0,0.3,0.4,0.13
pfaedit.csv,0.09,0.44,0.71,0.31,0.0,0.67,0.81,0.3,0.06,0.81,0.3,0.0,0.46,0.43,0.07
psrchive.csv,0.27,0.3,0.86,0.54,0.95,0.67,0.44,0.48,0.06,0.54,0.74,0.9,0.6,0.43,0.61
theresa.csv,0.18,0.63,0.64,0.46,0.2,1.0,0.74,0.26,0.0,0.43,0.65,0.37,0.47,0.37,0.48
thrust.csv,0.0,0.11,0.14,0.08,0.37,0.0,0.46,0.35,0.65,0.3,0.26,0.19,0.14,0.63,0.39
tktoolkit.csv,0.27,0.74,0.64,0.62,0.27,0.67,0.89,0.7,0.71,0.49,0.43,0.87,0.72,0.83,0.93
tzod.csv,0.27,0.67,0.57,0.92,0.73,0.67,0.3,0.26,0.18,0.49,0.57,0.46,0.52,0.33,0.59
yaprm.csv,0.73,0.44,0.57,0.08,0.0,0.67,0.19,0.26,0.41,0.68,0.43,0.06,0.87,0.6,0.13
